DeviceTag: Movella DOT2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 15:07:03.161,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
12566844,0.7580,-0.0051,0.0050,0.6522,0.0149,-0.0175,-0.0937,0
12567010,0.7581,-0.0055,0.0049,0.6521,-0.0050,0.0012,-0.1252,0
12567177,0.7580,-0.0056,0.0049,0.6522,-0.0146,-0.0122,-0.0983,0
12567344,0.7581,-0.0058,0.0050,0.6521,-0.0117,-0.0002,-0.1248,0
12567510,0.7582,-0.0060,0.0051,0.6520,-0.0273,0.0089,-0.1152,0
12567677,0.7583,-0.0060,0.0052,0.6518,-0.0104,0.0108,-0.1257,0
12567844,0.7584,-0.0061,0.0052,0.6518,-0.0000,0.0135,-0.1091,0
12568010,0.7583,-0.0062,0.0052,0.6518,-0.0006,0.0058,-0.1146,0
12568177,0.7582,-0.0064,0.0052,0.6520,-0.0176,0.0115,-0.1019,0
12568344,0.7584,-0.0065,0.0051,0.6517,-0.0122,0.0138,-0.1094,0
12568510,0.7584,-0.0066,0.0051,0.6517,-0.0113,0.0054,-0.1141,0
12568677,0.7584,-0.0067,0.0051,0.6518,-0.0153,0.0241,-0.1421,0
12568844,0.7582,-0.0069,0.0051,0.6520,-0.0254,0.0273,-0.1101,0
12569010,0.7583,-0.0070,0.0050,0.6519,-0.0193,0.0115,-0.1261,0
12569177,0.7583,-0.0071,0.0050,0.6519,-0.0230,0.0216,-0.1309,0
12569344,0.7583,-0.0073,0.0050,0.6518,-0.0374,0.0177,-0.1246,0
12569510,0.7582,-0.0074,0.0049,0.6519,-0.0294,0.0234,-0.1238,0
12569677,0.7584,-0.0075,0.0049,0.6518,-0.0374,0.0189,-0.1181,0
12569844,0.7583,-0.0076,0.0049,0.6518,-0.0392,0.0375,-0.1015,0
12570010,0.7584,-0.0078,0.0049,0.6518,-0.0470,0.0276,-0.1138,0
12570177,0.7586,-0.0079,0.0049,0.6515,-0.0346,0.0292,-0.1283,0
12570344,0.7586,-0.0080,0.0049,0.6515,-0.0483,0.0336,-0.1175,0
12570510,0.7585,-0.0081,0.0049,0.6516,-0.0473,0.0358,-0.1344,0
12570677,0.7586,-0.0082,0.0048,0.6515,-0.0418,0.0446,-0.1081,0
12570844,0.7587,-0.0084,0.0048,0.6514,-0.0363,0.0243,-0.1194,0
