DeviceTag: Movella DOT1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 15:07:02.795,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
16129775,0.5712,-0.0022,0.0013,0.8208,0.0052,-0.0059,-0.1319,0
16129942,0.5714,-0.0023,0.0015,0.8206,0.0008,-0.0060,-0.1404,0
16130108,0.5713,-0.0023,0.0018,0.8207,-0.0064,-0.0004,-0.1317,0
16130275,0.5715,-0.0023,0.0020,0.8206,0.0063,0.0139,-0.1232,0
16130442,0.5717,-0.0022,0.0021,0.8204,0.0227,0.0072,-0.0994,0
16130608,0.5718,-0.0023,0.0022,0.8204,0.0092,0.0112,-0.1121,0
16130775,0.5719,-0.0023,0.0023,0.8203,0.0142,0.0161,-0.1272,0
16130942,0.5720,-0.0022,0.0024,0.8203,0.0174,0.0161,-0.1519,0
16131108,0.5720,-0.0022,0.0026,0.8202,0.0086,0.0155,-0.1148,0
16131275,0.5722,-0.0022,0.0027,0.8201,0.0103,0.0261,-0.1260,0
16131442,0.5721,-0.0022,0.0028,0.8202,0.0171,0.0199,-0.1254,0
16131608,0.5721,-0.0022,0.0029,0.8201,0.0228,0.0210,-0.1314,0
16131775,0.5722,-0.0022,0.0030,0.8201,0.0206,0.0243,-0.1184,0
16131942,0.5722,-0.0022,0.0032,0.8201,0.0172,0.0275,-0.1384,0
16132108,0.5722,-0.0021,0.0033,0.8201,0.0091,0.0298,-0.0861,0
16132275,0.5723,-0.0021,0.0034,0.8200,0.0229,0.0399,-0.1416,0
16132442,0.5724,-0.0021,0.0035,0.8200,0.0359,0.0312,-0.0929,0
16132609,0.5725,-0.0020,0.0037,0.8199,0.0398,0.0400,-0.1319,0
16132775,0.5726,-0.0020,0.0038,0.8198,0.0354,0.0478,-0.0804,0
16132942,0.5726,-0.0020,0.0039,0.8198,0.0393,0.0425,-0.1214,0
16133109,0.5727,-0.0020,0.0040,0.8197,0.0366,0.0495,-0.1121,0
16133275,0.5727,-0.0019,0.0042,0.8197,0.0276,0.0545,-0.1121,0
16133442,0.5728,-0.0019,0.0043,0.8197,0.0387,0.0606,-0.1318,0
16133609,0.5728,-0.0019,0.0044,0.8197,0.0407,0.0597,-0.1221,0
16133775,0.5729,-0.0019,0.0045,0.8196,0.0436,0.0458,-0.1183,0
16133942,0.5730,-0.0019,0.0046,0.8196,0.0451,0.0426,-0.1255,0
16134109,0.5731,-0.0018,0.0048,0.8195,0.0435,0.0437,-0.1167,0
16134275,0.5731,-0.0018,0.0049,0.8194,0.0393,0.0531,-0.1283,0
16134442,0.5731,-0.0018,0.0050,0.8194,0.0296,0.0584,-0.1126,0
16134609,0.5733,-0.0018,0.0052,0.8194,0.0372,0.0473,-0.1180,0
16134775,0.5735,-0.0018,0.0053,0.8192,0.0535,0.0606,-0.1002,0
16134942,0.5735,-0.0017,0.0054,0.8192,0.0641,0.0559,-0.1154,0
16135109,0.5736,-0.0017,0.0056,0.8191,0.0445,0.0571,-0.0880,0
16135275,0.5736,-0.0017,0.0057,0.8191,0.0497,0.0659,-0.1115,0
16135442,0.5737,-0.0017,0.0058,0.8190,0.0576,0.0620,-0.1233,0
16135609,0.5738,-0.0016,0.0059,0.8190,0.0545,0.0717,-0.1202,0
16135775,0.5738,-0.0016,0.0061,0.8189,0.0704,0.0635,-0.1242,0
16135942,0.5739,-0.0016,0.0062,0.8189,0.0547,0.0751,-0.1127,0
16136109,0.5739,-0.0016,0.0063,0.8189,0.0667,0.0702,-0.1254,0
16136275,0.5740,-0.0015,0.0065,0.8188,0.0595,0.0666,-0.1372,0
16136442,0.5741,-0.0015,0.0066,0.8187,0.0602,0.0781,-0.1268,0
16136609,0.5742,-0.0015,0.0067,0.8187,0.0686,0.0778,-0.1145,0
16136775,0.5742,-0.0015,0.0069,0.8187,0.0620,0.0887,-0.1328,0
16136942,0.5743,-0.0014,0.0070,0.8186,0.0746,0.0782,-0.1082,0
16137109,0.5743,-0.0014,0.0071,0.8186,0.0800,0.0912,-0.1316,0
16137275,0.5744,-0.0014,0.0073,0.8186,0.0837,0.0739,-0.0916,0
16137442,0.5745,-0.0014,0.0074,0.8185,0.0755,0.0884,-0.0972,0
16137609,0.5745,-0.0014,0.0075,0.8185,0.0767,0.0965,-0.1180,0
16137775,0.5746,-0.0014,0.0076,0.8184,0.0821,0.0876,-0.0802,0
16137942,0.5746,-0.0013,0.0078,0.8184,0.0943,0.1017,-0.1191,0
16138109,0.5747,-0.0013,0.0079,0.8183,0.0896,0.1012,-0.1300,0
16138275,0.5748,-0.0013,0.0080,0.8183,0.0842,0.0978,-0.1084,0
16138442,0.5748,-0.0013,0.0082,0.8183,0.0898,0.0976,-0.1060,0
16138609,0.5748,-0.0012,0.0083,0.8182,0.0879,0.0951,-0.1342,0
16138775,0.5749,-0.0012,0.0084,0.8182,0.0846,0.0932,-0.1000,0
16138942,0.5749,-0.0012,0.0085,0.8181,0.0971,0.1032,-0.1206,0
16139109,0.5750,-0.0012,0.0087,0.8181,0.0992,0.1036,-0.1054,0
16139275,0.5751,-0.0012,0.0088,0.8181,0.1014,0.0943,-0.1342,0
16139442,0.5752,-0.0011,0.0089,0.8180,0.1035,0.1080,-0.1255,0
16139609,0.5752,-0.0011,0.0091,0.8179,0.1004,0.1116,-0.1185,0
16139775,0.5753,-0.0011,0.0092,0.8179,0.1080,0.1095,-0.1154,0
16139942,0.5754,-0.0011,0.0093,0.8179,0.1142,0.1199,-0.1037,0
16140109,0.5754,-0.0011,0.0094,0.8178,0.1183,0.1028,-0.1281,0
16140275,0.5755,-0.0010,0.0096,0.8178,0.1154,0.1189,-0.1156,0
16140442,0.5755,-0.0010,0.0097,0.8177,0.1095,0.1248,-0.1198,0
16140609,0.5756,-0.0010,0.0098,0.8177,0.1140,0.1250,-0.1139,0
16140775,0.5756,-0.0010,0.0099,0.8176,0.1067,0.1175,-0.0967,0
16140942,0.5757,-0.0010,0.0100,0.8176,0.1281,0.1306,-0.1132,0
16141109,0.5758,-0.0010,0.0102,0.8175,0.1187,0.1332,-0.1160,0
16141275,0.5759,-0.0009,0.0103,0.8175,0.1255,0.1325,-0.1435,0
16141442,0.5759,-0.0009,0.0104,0.8174,0.1253,0.1418,-0.1172,0
16141609,0.5760,-0.0009,0.0105,0.8174,0.1125,0.1268,-0.1297,0
16141775,0.5761,-0.0009,0.0106,0.8173,0.1145,0.1268,-0.1158,0
16141942,0.5761,-0.0009,0.0107,0.8173,0.1139,0.1430,-0.1198,0
16142109,0.5762,-0.0009,0.0109,0.8172,0.1284,0.1332,-0.1186,0
16142275,0.5763,-0.0008,0.0110,0.8172,0.1317,0.1329,-0.1075,0
16142442,0.5763,-0.0008,0.0111,0.8172,0.1280,0.1415,-0.1207,0
16142609,0.5764,-0.0008,0.0112,0.8171,0.1319,0.1468,-0.1264,0
16142775,0.5764,-0.0008,0.0113,0.8171,0.1336,0.1446,-0.1200,0
16142942,0.5765,-0.0008,0.0114,0.8170,0.1489,0.1306,-0.1346,0
16143109,0.5765,-0.0007,0.0116,0.8170,0.1275,0.1540,-0.1007,0
16143275,0.5766,-0.0007,0.0117,0.8169,0.1224,0.1495,-0.1132,0
16143442,0.5767,-0.0007,0.0118,0.8169,0.1369,0.1623,-0.1269,0
16143609,0.5768,-0.0007,0.0119,0.8168,0.1361,0.1558,-0.1205,0
16143775,0.5768,-0.0007,0.0120,0.8168,0.1384,0.1511,-0.0994,0
16143942,0.5769,-0.0007,0.0121,0.8168,0.1529,0.1398,-0.1102,0
16144109,0.5769,-0.0006,0.0122,0.8167,0.1440,0.1503,-0.0914,0
16144275,0.5770,-0.0006,0.0123,0.8167,0.1391,0.1631,-0.1380,0
16144442,0.5770,-0.0006,0.0124,0.8166,0.1407,0.1580,-0.1143,0
16144609,0.5771,-0.0006,0.0125,0.8166,0.1372,0.1530,-0.1329,0
16144775,0.5772,-0.0006,0.0126,0.8165,0.1412,0.1709,-0.1039,0
16144942,0.5773,-0.0006,0.0127,0.8164,0.1472,0.1764,-0.1371,0
16145109,0.5773,-0.0005,0.0128,0.8164,0.1633,0.1640,-0.1029,0
16145275,0.5774,-0.0005,0.0129,0.8164,0.1436,0.1650,-0.1307,0
16145442,0.5775,-0.0005,0.0130,0.8163,0.1580,0.1710,-0.1085,0
16145609,0.5775,-0.0005,0.0131,0.8163,0.1604,0.1626,-0.1345,0
16145775,0.5776,-0.0005,0.0132,0.8162,0.1559,0.1704,-0.0920,0
16145942,0.5776,-0.0005,0.0133,0.8162,0.1628,0.1594,-0.1117,0
16146109,0.5777,-0.0004,0.0134,0.8161,0.1560,0.1756,-0.1076,0
16146275,0.5778,-0.0004,0.0135,0.8161,0.1635,0.1623,-0.1296,0
16146442,0.5778,-0.0004,0.0135,0.8160,0.1635,0.1731,-0.1138,0
16146609,0.5779,-0.0004,0.0136,0.8160,0.1752,0.1595,-0.1449,0
16146775,0.5779,-0.0004,0.0137,0.8160,0.1665,0.1789,-0.1120,0
16146942,0.5780,-0.0004,0.0138,0.8159,0.1661,0.1702,-0.1187,0
16147109,0.5781,-0.0004,0.0139,0.8159,0.1700,0.1806,-0.1018,0
16147275,0.5781,-0.0004,0.0140,0.8158,0.1697,0.1941,-0.1129,0
16147442,0.5782,-0.0003,0.0140,0.8158,0.1790,0.1749,-0.1115,0
16147609,0.5783,-0.0003,0.0141,0.8157,0.1658,0.1889,-0.1126,0
16147775,0.5783,-0.0003,0.0142,0.8157,0.1559,0.1953,-0.1325,0
16147942,0.5784,-0.0003,0.0143,0.8156,0.1753,0.1827,-0.1256,0
16148109,0.5784,-0.0003,0.0143,0.8156,0.1691,0.1922,-0.1279,0
16148275,0.5785,-0.0003,0.0144,0.8155,0.1602,0.1900,-0.1589,0
16148442,0.5786,-0.0003,0.0145,0.8155,0.1812,0.1776,-0.1201,0
16148609,0.5787,-0.0003,0.0146,0.8154,0.1712,0.1898,-0.1144,0
16148775,0.5787,-0.0003,0.0146,0.8154,0.1696,0.1886,-0.1160,0
16148942,0.5788,-0.0002,0.0147,0.8153,0.1729,0.2035,-0.1257,0
16149109,0.5789,-0.0002,0.0148,0.8153,0.1758,0.1904,-0.1351,0
16149276,0.5790,-0.0002,0.0148,0.8152,0.1717,0.1998,-0.1129,0
16149442,0.5790,-0.0002,0.0149,0.8152,0.1836,0.1917,-0.1225,0
16149609,0.5789,-0.0020,0.0012,0.8154,-0.0001,0.0118,-0.1133,0
16149776,0.5789,-0.0020,0.0012,0.8154,0.0128,0.0009,-0.1302,0
16149942,0.5788,-0.0021,0.0012,0.8155,0.0226,0.0069,-0.0976,0
16150109,0.5788,-0.0021,0.0012,0.8155,0.0009,-0.0038,-0.1287,0
16150276,0.5787,-0.0021,0.0012,0.8155,-0.0227,0.0039,-0.1053,0
16150442,0.5787,-0.0021,0.0012,0.8156,0.0048,-0.0077,-0.1469,0
16150609,0.5787,-0.0021,0.0012,0.8156,0.0057,0.0149,-0.1304,0
16150776,0.5786,-0.0021,0.0012,0.8156,-0.0058,-0.0092,-0.1018,0
16150942,0.5786,-0.0021,0.0012,0.8156,-0.0050,-0.0103,-0.1142,0
16151109,0.5785,-0.0021,0.0012,0.8157,0.0001,0.0017,-0.1427,0
16151276,0.5785,-0.0021,0.0012,0.8157,-0.0119,-0.0092,-0.1140,0
16151442,0.5784,-0.0021,0.0012,0.8157,0.0007,0.0134,-0.1174,0
16151609,0.5784,-0.0021,0.0012,0.8157,0.0018,0.0143,-0.1031,0
16151776,0.5784,-0.0021,0.0012,0.8158,0.0065,0.0017,-0.1247,0
16151942,0.5783,-0.0021,0.0012,0.8158,0.0027,0.0111,-0.1045,0
16152109,0.5783,-0.0021,0.0012,0.8158,0.0127,-0.0019,-0.1341,0
16152276,0.5783,-0.0021,0.0012,0.8158,-0.0091,-0.0073,-0.1202,0
16152442,0.5782,-0.0021,0.0012,0.8159,0.0021,0.0000,-0.1409,0
16152609,0.5782,-0.0021,0.0012,0.8159,0.0011,-0.0079,-0.1101,0
16152776,0.5781,-0.0021,0.0012,0.8159,0.0050,-0.0020,-0.1215,0
16152942,0.5781,-0.0021,0.0012,0.8160,-0.0010,0.0050,-0.1027,0
16153109,0.5781,-0.0021,0.0012,0.8160,0.0022,-0.0025,-0.1324,0
16153276,0.5780,-0.0021,0.0012,0.8160,0.0045,0.0129,-0.1054,0
16153442,0.5780,-0.0021,0.0012,0.8160,-0.0080,-0.0043,-0.1252,0
16153609,0.5780,-0.0021,0.0012,0.8161,0.0015,0.0096,-0.1027,0
16153776,0.5779,-0.0021,0.0012,0.8161,0.0075,0.0057,-0.1346,0
16153942,0.5779,-0.0021,0.0012,0.8161,-0.0062,-0.0051,-0.1062,0
16154109,0.5779,-0.0021,0.0012,0.8161,-0.0071,0.0128,-0.1101,0
16154276,0.5778,-0.0021,0.0012,0.8162,-0.0068,0.0025,-0.1165,0
16154442,0.5778,-0.0021,0.0012,0.8162,-0.0098,-0.0040,-0.1249,0
16154609,0.5778,-0.0021,0.0012,0.8162,0.0145,0.0072,-0.1109,0
16154776,0.5777,-0.0021,0.0012,0.8162,0.0056,-0.0039,-0.1181,0
16154942,0.5777,-0.0021,0.0012,0.8162,-0.0037,0.0143,-0.1221,0
16155109,0.5777,-0.0021,0.0012,0.8163,-0.0102,0.0089,-0.1337,0
16155276,0.5776,-0.0021,0.0012,0.8163,-0.0034,0.0094,-0.1109,0
16155442,0.5776,-0.0021,0.0012,0.8163,-0.0038,0.0100,-0.1192,0
16155609,0.5776,-0.0021,0.0012,0.8163,-0.0027,-0.0024,-0.1327,0
16155776,0.5775,-0.0021,0.0012,0.8164,-0.0026,0.0006,-0.1269,0
16155942,0.5775,-0.0021,0.0012,0.8164,0.0018,-0.0046,-0.1076,0
16156109,0.5775,-0.0021,0.0012,0.8164,0.0070,0.0121,-0.1140,0
16156276,0.5775,-0.0021,0.0012,0.8164,0.0003,-0.0085,-0.0809,0
16156442,0.5774,-0.0021,0.0012,0.8164,-0.0039,-0.0046,-0.0973,0
16156609,0.5774,-0.0021,0.0012,0.8165,-0.0107,-0.0008,-0.1232,0
16156776,0.5774,-0.0021,0.0012,0.8165,-0.0057,-0.0046,-0.1165,0
16156942,0.5773,-0.0021,0.0012,0.8165,-0.0060,0.0003,-0.1144,0
16157109,0.5773,-0.0021,0.0012,0.8165,-0.0113,0.0040,-0.1245,0
16157276,0.5773,-0.0021,0.0012,0.8165,-0.0024,-0.0079,-0.1034,0
16157442,0.5773,-0.0021,0.0012,0.8166,-0.0027,0.0085,-0.0939,0
16157609,0.5772,-0.0021,0.0012,0.8166,-0.0155,-0.0067,-0.1229,0
16157776,0.5772,-0.0021,0.0012,0.8166,-0.0049,-0.0051,-0.1083,0
16157942,0.5772,-0.0021,0.0012,0.8166,0.0025,-0.0037,-0.1021,0
16158109,0.5771,-0.0021,0.0012,0.8166,0.0068,0.0007,-0.1047,0
16158276,0.5771,-0.0021,0.0012,0.8167,-0.0128,0.0076,-0.1345,0
16158442,0.5771,-0.0021,0.0012,0.8167,0.0031,-0.0087,-0.1148,0
16158609,0.5771,-0.0021,0.0012,0.8167,-0.0003,0.0010,-0.1248,0
16158776,0.5770,-0.0021,0.0012,0.8167,-0.0083,-0.0129,-0.1115,0
16158942,0.5770,-0.0021,0.0012,0.8167,0.0039,-0.0021,-0.0931,0
16159109,0.5770,-0.0021,0.0012,0.8167,-0.0040,-0.0033,-0.1054,0
16159276,0.5770,-0.0021,0.0012,0.8168,-0.0082,0.0160,-0.1054,0
16159442,0.5769,-0.0021,0.0012,0.8168,0.0027,0.0058,-0.1162,0
16159609,0.5769,-0.0021,0.0012,0.8168,-0.0022,0.0041,-0.1258,0
16159776,0.5769,-0.0022,0.0012,0.8168,0.0007,-0.0027,-0.1285,0
16159942,0.5769,-0.0022,0.0012,0.8168,-0.0076,0.0085,-0.1191,0
16160109,0.5768,-0.0022,0.0012,0.8169,0.0038,-0.0086,-0.1271,0
16160276,0.5768,-0.0022,0.0012,0.8169,0.0084,-0.0020,-0.1045,0
16160442,0.5768,-0.0022,0.0012,0.8169,-0.0125,-0.0053,-0.1200,0
16160609,0.5768,-0.0022,0.0012,0.8169,0.0068,0.0064,-0.1114,0
16160776,0.5767,-0.0022,0.0012,0.8169,0.0078,0.0016,-0.1223,0
16160942,0.5767,-0.0022,0.0012,0.8169,0.0024,0.0098,-0.1050,0
16161109,0.5767,-0.0022,0.0013,0.8169,0.0006,0.0098,-0.1518,0
16161276,0.5767,-0.0022,0.0013,0.8170,0.0004,0.0101,-0.1273,0
16161442,0.5767,-0.0022,0.0013,0.8170,0.0027,-0.0046,-0.1012,0
16161609,0.5767,-0.0022,0.0013,0.8170,0.0101,0.0007,-0.1097,0
16161776,0.5766,-0.0022,0.0013,0.8170,-0.0114,0.0025,-0.1271,0
16161942,0.5766,-0.0022,0.0013,0.8170,-0.0047,0.0042,-0.1172,0
16162109,0.5766,-0.0022,0.0013,0.8170,-0.0052,0.0082,-0.1104,0
16162276,0.5766,-0.0022,0.0013,0.8170,-0.0011,0.0022,-0.1234,0
16162442,0.5766,-0.0022,0.0013,0.8171,0.0141,-0.0059,-0.1089,0
16162609,0.5765,-0.0022,0.0013,0.8171,0.0039,-0.0076,-0.1189,0
16162776,0.5765,-0.0022,0.0013,0.8171,0.0064,0.0044,-0.1256,0
16162942,0.5765,-0.0022,0.0013,0.8171,0.0092,0.0004,-0.1151,0
16163109,0.5765,-0.0022,0.0013,0.8171,-0.0097,-0.0014,-0.0945,0
16163276,0.5764,-0.0022,0.0013,0.8171,-0.0168,0.0099,-0.1045,0
16163442,0.5764,-0.0022,0.0013,0.8171,-0.0080,-0.0014,-0.1187,0
16163609,0.5764,-0.0022,0.0013,0.8172,0.0016,-0.0065,-0.1229,0
16163776,0.5764,-0.0022,0.0013,0.8172,-0.0172,0.0041,-0.1152,0
16163942,0.5764,-0.0022,0.0013,0.8172,-0.0078,0.0043,-0.1204,0
16164109,0.5764,-0.0022,0.0013,0.8172,-0.0050,-0.0016,-0.1044,0
16164276,0.5763,-0.0022,0.0013,0.8172,0.0119,-0.0009,-0.1440,0
16164442,0.5763,-0.0022,0.0013,0.8172,-0.0044,-0.0048,-0.1372,0
16164609,0.5763,-0.0022,0.0013,0.8172,0.0142,0.0007,-0.1165,0
16164776,0.5763,-0.0022,0.0013,0.8172,0.0002,-0.0008,-0.1353,0
16164942,0.5763,-0.0022,0.0013,0.8172,0.0048,-0.0049,-0.1175,0
16165109,0.5763,-0.0022,0.0013,0.8173,-0.0088,0.0072,-0.1076,0
16165276,0.5763,-0.0022,0.0013,0.8173,-0.0016,-0.0009,-0.1323,0
16165442,0.5762,-0.0022,0.0013,0.8173,-0.0137,-0.0010,-0.1312,0
16165609,0.5762,-0.0022,0.0013,0.8173,-0.0002,0.0021,-0.1340,0
16165776,0.5762,-0.0022,0.0013,0.8173,0.0030,0.0137,-0.1218,0
16165943,0.5762,-0.0022,0.0013,0.8173,-0.0095,0.0074,-0.1488,0
16166109,0.5762,-0.0022,0.0013,0.8173,-0.0002,0.0009,-0.1207,0
16166276,0.5761,-0.0022,0.0014,0.8174,-0.0007,0.0043,-0.1381,0
16166443,0.5761,-0.0022,0.0014,0.8174,-0.0101,0.0064,-0.1237,0
16166609,0.5761,-0.0022,0.0014,0.8174,-0.0033,0.0121,-0.1357,0
16166776,0.5761,-0.0022,0.0014,0.8174,-0.0070,0.0097,-0.1188,0
16166943,0.5761,-0.0022,0.0013,0.8174,-0.0038,0.0063,-0.1097,0
16167109,0.5761,-0.0022,0.0014,0.8174,-0.0123,0.0131,-0.0975,0
16167276,0.5760,-0.0022,0.0014,0.8174,-0.0094,-0.0045,-0.1322,0
