DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 15:07:02.979,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
12564448,0.3042,0.0097,0.0022,-0.9526,-0.0072,0.0106,-0.2964,0
12564615,0.3042,0.0097,0.0021,-0.9526,0.0006,-0.0083,-0.2733,0
12564782,0.3041,0.0096,0.0020,-0.9526,-0.0046,0.0120,-0.3178,0
12564948,0.3041,0.0096,0.0020,-0.9526,0.0011,0.0022,-0.2593,0
12565115,0.3041,0.0095,0.0019,-0.9526,-0.0099,0.0066,-0.3086,0
12565282,0.3040,0.0095,0.0018,-0.9526,-0.0045,0.0173,-0.2869,0
12565448,0.3040,0.0094,0.0018,-0.9526,0.0001,0.0102,-0.2678,0
12565615,0.3040,0.0094,0.0017,-0.9526,0.0019,0.0115,-0.2814,0
12565782,0.3040,0.0094,0.0017,-0.9526,-0.0045,0.0192,-0.2920,0
12565948,0.3040,0.0093,0.0017,-0.9526,0.0011,0.0126,-0.2767,0
12566115,0.3040,0.0093,0.0016,-0.9526,0.0023,0.0178,-0.2876,0
12566282,0.3039,0.0093,0.0016,-0.9526,0.0015,0.0149,-0.2915,0
12566449,0.3039,0.0093,0.0015,-0.9527,-0.0074,0.0230,-0.2959,0
12566615,0.3039,0.0093,0.0014,-0.9527,-0.0026,0.0049,-0.2821,0
12566782,0.3039,0.0092,0.0014,-0.9526,0.0082,0.0191,-0.2723,0
12566949,0.3041,0.0092,0.0013,-0.9526,0.0087,0.0229,-0.2739,0
12567115,0.3041,0.0092,0.0012,-0.9526,-0.0032,0.0293,-0.2922,0
12567282,0.3042,0.0092,0.0012,-0.9526,-0.0064,0.0157,-0.2954,0
12567449,0.3042,0.0092,0.0011,-0.9526,-0.0023,0.0138,-0.2910,0
12567615,0.3046,0.0091,0.0010,-0.9524,-0.0132,0.0302,-0.2943,0
12567782,0.3047,0.0091,0.0010,-0.9524,-0.0040,0.0231,-0.2974,0
12567949,0.3047,0.0091,0.0009,-0.9524,-0.0124,0.0305,-0.2817,0
12568115,0.3046,0.0090,0.0008,-0.9524,0.0002,0.0329,-0.2957,0
12568282,0.3036,0.0090,0.0007,-0.9527,-0.0156,0.0113,-0.2955,0
12568449,0.3037,0.0090,0.0007,-0.9527,-0.0054,0.0316,-0.2946,0
12568615,0.3036,0.0090,0.0006,-0.9528,0.0002,0.0267,-0.2751,0
12568782,0.3037,0.0089,0.0005,-0.9527,0.0021,0.0379,-0.2700,0
12568949,0.3036,0.0089,0.0004,-0.9528,-0.0001,0.0491,-0.2790,0
12569115,0.3043,0.0089,0.0004,-0.9525,0.0045,0.0304,-0.2805,0
12569282,0.3043,0.0088,0.0003,-0.9525,-0.0004,0.0368,-0.2646,0
12569449,0.3040,0.0088,0.0002,-0.9526,-0.0081,0.0378,-0.3008,0
12569615,0.3041,0.0088,0.0002,-0.9526,-0.0081,0.0328,-0.3100,0
12569782,0.3045,0.0088,0.0001,-0.9525,-0.0115,0.0450,-0.2740,0
12569949,0.3045,0.0087,0.0000,-0.9525,-0.0038,0.0478,-0.2776,0
12570115,0.3047,0.0087,-0.0001,-0.9524,-0.0021,0.0402,-0.2767,0
12570282,0.3049,0.0087,-0.0001,-0.9524,0.0043,0.0478,-0.3125,0
12570449,0.3047,0.0087,-0.0002,-0.9524,-0.0038,0.0526,-0.2833,0
12570615,0.3046,0.0086,-0.0003,-0.9524,-0.0028,0.0543,-0.2839,0
12570782,0.3045,0.0086,-0.0003,-0.9525,-0.0115,0.0518,-0.2873,0
12570949,0.3048,0.0086,-0.0004,-0.9524,-0.0188,0.0642,-0.2850,0
