DeviceTag: Movella DOT3,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 15:07:03.345,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
16134282,0.9079,-0.0009,0.0027,0.4192,-0.0087,-0.0031,-0.0290,0
16134449,0.9079,-0.0005,0.0028,0.4192,-0.0170,-0.0035,0.0034,0
16134616,0.9079,-0.0001,0.0030,0.4193,0.0066,-0.0118,0.0081,0
16134782,0.9079,0.0002,0.0031,0.4193,0.0028,-0.0232,-0.0147,0
16134949,0.9078,0.0005,0.0031,0.4195,0.0116,-0.0253,-0.0103,0
16135116,0.9077,0.0007,0.0032,0.4195,0.0160,-0.0109,-0.0024,0
16135282,0.9077,0.0010,0.0032,0.4195,0.0256,-0.0290,-0.0225,0
16135449,0.9078,0.0013,0.0032,0.4195,0.0193,-0.0402,0.0181,0
16135616,0.9078,0.0015,0.0032,0.4194,0.0150,-0.0287,-0.0035,0
16135782,0.9079,0.0018,0.0032,0.4193,0.0304,-0.0451,0.0238,0
16135949,0.9079,0.0020,0.0032,0.4191,0.0209,-0.0520,0.0210,0
16136116,0.9080,0.0023,0.0032,0.4189,0.0402,-0.0624,-0.0275,0
16136282,0.9080,0.0026,0.0032,0.4189,0.0326,-0.0679,0.0304,0
16136449,0.9081,0.0028,0.0032,0.4187,0.0300,-0.0649,-0.0146,0
16136616,0.9082,0.0031,0.0032,0.4185,0.0227,-0.0716,0.0067,0
16136782,0.9083,0.0034,0.0032,0.4184,0.0478,-0.0849,0.0060,0
16136949,0.9083,0.0036,0.0032,0.4183,0.0490,-0.0767,-0.0128,0
16137116,0.9084,0.0039,0.0032,0.4182,0.0457,-0.0847,-0.0224,0
16137282,0.9084,0.0041,0.0032,0.4181,0.0375,-0.0950,0.0089,0
16137449,0.9084,0.0044,0.0032,0.4180,0.0462,-0.0940,0.0108,0
16137616,0.9084,0.0047,0.0033,0.4180,0.0437,-0.0946,-0.0062,0
16137782,0.9085,0.0049,0.0033,0.4179,0.0369,-0.0962,0.0133,0
16137949,0.9085,0.0052,0.0033,0.4178,0.0454,-0.1160,0.0266,0
16138116,0.9086,0.0055,0.0033,0.4177,0.0552,-0.1167,0.0015,0
16138282,0.9086,0.0058,0.0033,0.4176,0.0625,-0.1144,-0.0029,0
16138449,0.9086,0.0061,0.0033,0.4175,0.0672,-0.1264,-0.0153,0
16138616,0.9087,0.0063,0.0033,0.4173,0.0555,-0.1125,0.0051,0
16138782,0.9088,0.0066,0.0033,0.4172,0.0673,-0.1255,0.0037,0
16138949,0.9088,0.0069,0.0034,0.4172,0.0716,-0.1453,0.0063,0
16139116,0.9088,0.0072,0.0034,0.4171,0.0935,-0.1405,0.0145,0
16139282,0.9089,0.0074,0.0034,0.4170,0.0934,-0.1343,-0.0001,0
16139449,0.9089,0.0077,0.0034,0.4169,0.0889,-0.1610,-0.0063,0
16139616,0.9090,0.0080,0.0034,0.4168,0.0838,-0.1529,0.0179,0
16139782,0.9090,0.0083,0.0034,0.4166,0.0740,-0.1584,0.0088,0
16139949,0.9091,0.0086,0.0034,0.4165,0.0983,-0.1588,0.0159,0
16140116,0.9091,0.0088,0.0034,0.4164,0.0805,-0.1436,-0.0086,0
16140282,0.9092,0.0091,0.0034,0.4163,0.0866,-0.1780,0.0182,0
16140449,0.9092,0.0094,0.0034,0.4162,0.0973,-0.1830,-0.0200,0
16140616,0.9093,0.0097,0.0034,0.4161,0.0921,-0.1826,-0.0037,0
16140782,0.9093,0.0099,0.0034,0.4159,0.0924,-0.1878,-0.0015,0
16140949,0.9094,0.0102,0.0034,0.4158,0.0986,-0.1930,0.0100,0
16141116,0.9094,0.0105,0.0035,0.4157,0.1010,-0.1962,0.0033,0
16141282,0.9095,0.0108,0.0035,0.4156,0.1177,-0.2104,0.0161,0
16141449,0.9095,0.0111,0.0035,0.4155,0.1134,-0.2147,0.0036,0
16141616,0.9096,0.0113,0.0035,0.4154,0.1100,-0.2142,0.0121,0
16141782,0.9096,0.0116,0.0035,0.4153,0.1123,-0.2252,0.0005,0
16141949,0.9096,0.0119,0.0035,0.4152,0.1047,-0.2276,-0.0101,0
16142116,0.9097,0.0121,0.0035,0.4151,0.1221,-0.2317,0.0073,0
16142282,0.9097,0.0124,0.0035,0.4150,0.1170,-0.2348,0.0075,0
16142449,0.9098,0.0127,0.0035,0.4148,0.1217,-0.2381,0.0291,0
16142616,0.9099,0.0130,0.0035,0.4147,0.1138,-0.2475,0.0050,0
16142782,0.9099,0.0132,0.0035,0.4146,0.1250,-0.2580,0.0034,0
16142949,0.9100,0.0135,0.0035,0.4144,0.1288,-0.2528,0.0108,0
16143116,0.9100,0.0138,0.0035,0.4143,0.1218,-0.2561,0.0121,0
16143282,0.9101,0.0140,0.0035,0.4142,0.1329,-0.2593,0.0055,0
16143449,0.9101,0.0143,0.0035,0.4141,0.1280,-0.2543,0.0047,0
16143616,0.9102,0.0146,0.0035,0.4140,0.1466,-0.2654,-0.0004,0
16143783,0.9102,0.0148,0.0035,0.4139,0.1351,-0.2719,0.0122,0
16143949,0.9102,0.0151,0.0035,0.4138,0.1163,-0.2804,-0.0018,0
16144116,0.9103,0.0154,0.0035,0.4137,0.1485,-0.2884,-0.0054,0
16144283,0.9103,0.0156,0.0036,0.4135,0.1481,-0.2960,-0.0094,0
16144449,0.9104,0.0159,0.0036,0.4134,0.1521,-0.3027,0.0254,0
16144616,0.9105,0.0162,0.0036,0.4133,0.1447,-0.3036,-0.0127,0
16144783,0.9105,0.0164,0.0036,0.4132,0.1560,-0.3015,0.0110,0
16144949,0.9105,0.0167,0.0036,0.4131,0.1585,-0.3073,-0.0147,0
16145116,0.9106,0.0169,0.0036,0.4129,0.1477,-0.3011,0.0085,0
16145283,0.9106,0.0172,0.0036,0.4128,0.1500,-0.3230,-0.0129,0
16145449,0.9107,0.0175,0.0036,0.4127,0.1567,-0.3174,-0.0023,0
16145616,0.9107,0.0177,0.0036,0.4126,0.1625,-0.3281,-0.0029,0
16145783,0.9108,0.0180,0.0036,0.4125,0.1629,-0.3318,0.0033,0
16145949,0.9108,0.0182,0.0036,0.4124,0.1646,-0.3393,-0.0210,0
16146116,0.9109,0.0185,0.0036,0.4123,0.1618,-0.3481,-0.0092,0
16146283,0.9109,0.0187,0.0036,0.4122,0.1675,-0.3539,-0.0016,0
16146449,0.9109,0.0190,0.0037,0.4121,0.1722,-0.3577,0.0136,0
16146616,0.9110,0.0192,0.0037,0.4120,0.1794,-0.3440,-0.0160,0
16146783,0.9110,0.0194,0.0037,0.4119,0.1931,-0.3675,0.0137,0
16146949,0.9111,0.0197,0.0037,0.4117,0.1819,-0.3503,-0.0137,0
16147116,0.9111,0.0199,0.0037,0.4116,0.1891,-0.3649,-0.0017,0
16147283,0.9112,0.0201,0.0037,0.4115,0.1852,-0.3774,-0.0053,0
16147449,0.9112,0.0204,0.0037,0.4114,0.1676,-0.3699,0.0003,0
16147616,0.9113,0.0206,0.0037,0.4113,0.1856,-0.3813,-0.0158,0
16147783,0.9113,0.0208,0.0037,0.4112,0.1926,-0.3849,0.0003,0
16147949,0.9114,0.0211,0.0037,0.4111,0.1837,-0.3872,0.0067,0
16148116,0.9114,0.0213,0.0037,0.4109,0.1967,-0.4037,-0.0005,0
16148283,0.9115,0.0215,0.0037,0.4108,0.1977,-0.3916,0.0082,0
16148449,0.9115,0.0217,0.0037,0.4106,0.1952,-0.3964,-0.0208,0
16148616,0.9116,0.0219,0.0037,0.4105,0.1987,-0.4176,-0.0038,0
16148783,0.9116,0.0221,0.0037,0.4104,0.1921,-0.4013,-0.0360,0
16148949,0.9117,0.0224,0.0037,0.4103,0.1964,-0.4147,0.0075,0
16149116,0.9117,0.0226,0.0037,0.4102,0.2200,-0.4156,-0.0133,0
16149283,0.9118,0.0228,0.0038,0.4101,0.2074,-0.4140,0.0070,0
