DeviceTag: Movella DOT2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 14:21:03.008,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
23708294,0.4664,0.4002,-0.3470,0.7084,-0.0399,-0.0100,-0.1679,0
23708460,0.4667,0.3997,-0.3475,0.7083,-0.0330,-0.0906,-0.0052,0
23708627,0.4667,0.3995,-0.3471,0.7086,0.0820,0.0331,0.1183,0
23708794,0.4660,0.3995,-0.3476,0.7088,0.1183,0.0605,0.2300,0
23708960,0.4647,0.3999,-0.3486,0.7090,-0.0396,0.0283,0.1172,0
23709127,0.4628,0.4014,-0.3493,0.7090,0.1683,-0.1619,-0.2378,0
23709294,0.4606,0.4033,-0.3499,0.7091,0.1899,-0.0618,-0.3348,0
23709460,0.4575,0.4062,-0.3502,0.7093,0.0485,-0.1918,-0.0173,0
23709627,0.4537,0.4100,-0.3507,0.7092,-0.0873,-0.0678,0.2066,0
23709794,0.4496,0.4140,-0.3511,0.7094,-0.2251,-0.0199,0.0901,0
23709960,0.4440,0.4187,-0.3522,0.7095,-0.5197,0.1341,0.5722,0
23710127,0.4369,0.4256,-0.3544,0.7088,0.0512,-0.2399,-0.5836,0
23710294,0.4304,0.4326,-0.3559,0.7078,-0.0861,0.0458,-0.5639,0
23710460,0.4241,0.4392,-0.3572,0.7068,-0.1234,-0.0606,-0.3433,0
23710627,0.4182,0.4456,-0.3587,0.7056,-0.2481,0.0757,-0.4956,0
23710794,0.4131,0.4509,-0.3598,0.7047,-0.1293,0.2573,-0.0111,0
23710960,0.4092,0.4556,-0.3607,0.7035,-0.0016,0.3315,0.4248,0
23711127,0.4050,0.4601,-0.3621,0.7022,-0.4457,0.3361,0.4713,0
23711294,0.3997,0.4641,-0.3638,0.7018,-0.3648,0.1774,0.2364,0
23711460,0.3936,0.4698,-0.3662,0.7002,0.1036,0.5698,-0.0264,0
23711627,0.3865,0.4766,-0.3689,0.6982,-0.2865,0.8686,-0.2621,0
23711794,0.3766,0.4851,-0.3722,0.6959,-0.3693,0.2305,0.0272,0
23711960,0.3627,0.4975,-0.3768,0.6921,-0.4652,0.3561,0.1208,0
23712127,0.3447,0.5142,-0.3825,0.6859,-0.4462,0.9540,-0.0762,0
