DeviceTag: Movella DOT4,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 14:42:34.608,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1446917,0.3877,-0.0068,0.0041,0.9218,0.0054,0.0009,0.2096,0
1447084,0.3875,-0.0067,0.0043,0.9218,-0.0011,0.0141,0.2141,0
1447251,0.3877,-0.0064,0.0044,0.9218,0.0170,0.0009,0.2138,0
1447417,0.3878,-0.0064,0.0045,0.9217,0.0067,0.0162,0.2051,0
1447584,0.3880,-0.0063,0.0045,0.9216,0.0122,0.0077,0.2092,0
1447751,0.3881,-0.0061,0.0046,0.9216,0.0235,0.0153,0.2121,0
1447917,0.3882,-0.0060,0.0047,0.9216,0.0230,0.0032,0.2295,0
1448084,0.3881,-0.0060,0.0048,0.9216,0.0299,0.0161,0.1978,0
1448251,0.3884,-0.0059,0.0049,0.9215,0.0263,0.0135,0.2248,0
1448418,0.3885,-0.0058,0.0051,0.9214,0.0067,0.0081,0.2021,0
1448584,0.3887,-0.0057,0.0052,0.9213,0.0289,0.0224,0.2075,0
1448751,0.3888,-0.0056,0.0053,0.9213,0.0473,0.0137,0.2168,0
1448918,0.3889,-0.0055,0.0055,0.9212,0.0377,0.0165,0.2175,0
1449084,0.3890,-0.0054,0.0056,0.9212,0.0313,0.0164,0.2082,0
1449251,0.3891,-0.0053,0.0057,0.9212,0.0316,0.0139,0.2038,0
1449418,0.3892,-0.0052,0.0059,0.9211,0.0500,0.0212,0.2242,0
1449584,0.3893,-0.0050,0.0060,0.9211,0.0325,0.0267,0.2057,0
1449751,0.3893,-0.0049,0.0061,0.9211,0.0424,0.0329,0.2444,0
1449918,0.3894,-0.0048,0.0063,0.9210,0.0662,0.0358,0.2261,0
1450084,0.3894,-0.0047,0.0064,0.9210,0.0561,0.0208,0.2147,0
1450251,0.3895,-0.0046,0.0066,0.9210,0.0525,0.0287,0.1816,0
1450418,0.3896,-0.0045,0.0067,0.9209,0.0607,0.0373,0.2195,0
1450584,0.3898,-0.0044,0.0069,0.9209,0.0646,0.0403,0.2014,0
1450751,0.3899,-0.0043,0.0070,0.9208,0.0750,0.0372,0.2060,0
1450918,0.3900,-0.0042,0.0071,0.9208,0.0661,0.0454,0.2107,0
1451084,0.3901,-0.0041,0.0073,0.9207,0.0706,0.0354,0.2101,0
1451251,0.3902,-0.0040,0.0074,0.9207,0.0902,0.0344,0.2239,0
1451418,0.3903,-0.0039,0.0076,0.9206,0.0800,0.0554,0.2192,0
1451584,0.3904,-0.0038,0.0077,0.9206,0.0839,0.0496,0.2054,0
1451751,0.3905,-0.0036,0.0079,0.9205,0.0917,0.0353,0.2187,0
1451918,0.3907,-0.0035,0.0080,0.9205,0.1034,0.0487,0.2126,0
1452084,0.3907,-0.0034,0.0081,0.9205,0.1165,0.0628,0.2011,0
1452251,0.3908,-0.0033,0.0083,0.9204,0.1004,0.0517,0.2203,0
1452418,0.3909,-0.0032,0.0084,0.9204,0.0965,0.0560,0.2063,0
1452584,0.3910,-0.0031,0.0085,0.9203,0.1027,0.0447,0.2152,0
1452751,0.3911,-0.0030,0.0087,0.9203,0.1134,0.0597,0.2260,0
1452918,0.3912,-0.0029,0.0088,0.9202,0.1087,0.0650,0.2040,0
1453084,0.3914,-0.0028,0.0090,0.9202,0.0959,0.0587,0.1910,0
1453251,0.3915,-0.0027,0.0091,0.9201,0.1294,0.0700,0.2106,0
1453418,0.3916,-0.0025,0.0093,0.9201,0.1085,0.0670,0.2027,0
1453584,0.3917,-0.0024,0.0094,0.9200,0.1193,0.0781,0.2128,0
1453751,0.3918,-0.0023,0.0095,0.9200,0.1147,0.0772,0.2465,0
1453918,0.3919,-0.0022,0.0097,0.9199,0.1255,0.0765,0.2045,0
1454084,0.3920,-0.0021,0.0098,0.9199,0.1340,0.0659,0.2276,0
1454251,0.3921,-0.0020,0.0099,0.9199,0.1510,0.0698,0.1942,0
1454418,0.3921,-0.0019,0.0101,0.9199,0.1260,0.0681,0.1909,0
1454584,0.3921,-0.0018,0.0102,0.9199,0.1334,0.0872,0.2229,0
1454751,0.3922,-0.0017,0.0104,0.9198,0.1439,0.0798,0.1962,0
1454918,0.3923,-0.0016,0.0105,0.9198,0.1533,0.0791,0.2190,0
1455084,0.3924,-0.0015,0.0106,0.9197,0.1445,0.0804,0.1951,0
1455251,0.3925,-0.0013,0.0108,0.9197,0.1410,0.0922,0.2225,0
1455418,0.3926,-0.0012,0.0109,0.9196,0.1589,0.1018,0.1921,0
1455584,0.3927,-0.0011,0.0111,0.9196,0.1600,0.0922,0.2282,0
1455751,0.3928,-0.0010,0.0112,0.9196,0.1590,0.0805,0.2207,0
1455918,0.3929,-0.0009,0.0113,0.9195,0.1532,0.0980,0.2149,0
1456084,0.3930,-0.0008,0.0114,0.9195,0.1750,0.1035,0.2052,0
1456251,0.3931,-0.0007,0.0116,0.9194,0.1621,0.0977,0.2229,0
1456418,0.3932,-0.0006,0.0117,0.9194,0.1692,0.0813,0.1829,0
1456584,0.3933,-0.0005,0.0118,0.9194,0.1658,0.0982,0.2091,0
1456751,0.3933,-0.0004,0.0120,0.9193,0.1700,0.1041,0.2111,0
1456918,0.3935,-0.0003,0.0121,0.9193,0.1917,0.0972,0.2103,0
1457084,0.3935,-0.0002,0.0122,0.9192,0.1810,0.1072,0.2197,0
1457251,0.3936,-0.0001,0.0123,0.9192,0.1919,0.1174,0.2157,0
1457418,0.3937,0.0000,0.0125,0.9192,0.1918,0.1105,0.2205,0
1457584,0.3938,0.0001,0.0126,0.9191,0.1939,0.1018,0.2071,0
1457751,0.3939,0.0002,0.0127,0.9191,0.2035,0.0996,0.2183,0
1457918,0.3940,0.0003,0.0128,0.9190,0.1977,0.1166,0.2128,0
1458084,0.3941,0.0004,0.0130,0.9190,0.2041,0.1239,0.1965,0
1458251,0.3942,0.0005,0.0131,0.9189,0.2047,0.1106,0.2283,0
1458418,0.3943,0.0006,0.0132,0.9189,0.2136,0.1136,0.1902,0
1458584,0.3944,0.0007,0.0134,0.9188,0.2048,0.1220,0.2143,0
1458751,0.3945,0.0008,0.0135,0.9188,0.2209,0.1186,0.1922,0
1458918,0.3946,0.0009,0.0136,0.9188,0.2120,0.1198,0.2072,0
1459084,0.3947,0.0010,0.0137,0.9187,0.2220,0.1127,0.2123,0
1459251,0.3948,0.0011,0.0139,0.9187,0.2191,0.1326,0.2247,0
1459418,0.3949,0.0012,0.0140,0.9186,0.2202,0.1181,0.2010,0
1459584,0.3950,0.0013,0.0141,0.9186,0.2306,0.1231,0.2162,0
1459751,0.3951,0.0014,0.0142,0.9185,0.2226,0.1266,0.2080,0
1459918,0.3952,0.0014,0.0143,0.9185,0.2529,0.1347,0.2126,0
1460084,0.3953,0.0015,0.0144,0.9184,0.2313,0.1169,0.1909,0
1460251,0.3954,0.0016,0.0146,0.9184,0.2304,0.1463,0.2226,0
1460418,0.3955,0.0017,0.0147,0.9184,0.2484,0.1290,0.2091,0
1460584,0.3956,0.0018,0.0148,0.9183,0.2346,0.1470,0.2400,0
1460751,0.3957,0.0019,0.0149,0.9183,0.2471,0.1519,0.1917,0
1460918,0.3957,0.0020,0.0150,0.9182,0.2480,0.1276,0.2075,0
1461084,0.3958,0.0021,0.0151,0.9182,0.2591,0.1331,0.1893,0
1461251,0.3960,0.0021,0.0152,0.9181,0.2641,0.1509,0.2176,0
1461418,0.3961,0.0022,0.0153,0.9181,0.2582,0.1415,0.2105,0
1461584,0.3961,0.0023,0.0154,0.9181,0.2632,0.1416,0.2070,0
1461751,0.3963,0.0024,0.0156,0.9180,0.2575,0.1351,0.2047,0
1461918,0.3963,0.0025,0.0157,0.9180,0.2572,0.1482,0.2099,0
1462084,0.3964,0.0026,0.0158,0.9179,0.2684,0.1422,0.2086,0
1462251,0.3965,0.0026,0.0159,0.9179,0.2592,0.1464,0.2069,0
1462418,0.3966,0.0027,0.0160,0.9179,0.2677,0.1464,0.2049,0
1462584,0.3967,0.0028,0.0161,0.9178,0.2644,0.1482,0.1964,0
1462751,0.3967,0.0029,0.0162,0.9178,0.2738,0.1549,0.2289,0
1462918,0.3968,0.0029,0.0163,0.9177,0.2712,0.1542,0.1930,0
1463084,0.3969,0.0030,0.0164,0.9177,0.2849,0.1462,0.2318,0
1463251,0.3970,0.0031,0.0165,0.9177,0.2788,0.1653,0.2183,0
1463418,0.3971,0.0032,0.0166,0.9176,0.2793,0.1572,0.2189,0
1463584,0.3972,0.0032,0.0167,0.9176,0.2919,0.1569,0.1891,0
1463751,0.3973,0.0033,0.0167,0.9175,0.2892,0.1604,0.2282,0
1463918,0.3974,0.0034,0.0168,0.9175,0.2900,0.1566,0.1827,0
1464084,0.3975,0.0034,0.0169,0.9175,0.3011,0.1383,0.2238,0
1464251,0.3975,0.0035,0.0170,0.9174,0.2868,0.1482,0.2050,0
1464418,0.3976,0.0035,0.0171,0.9174,0.2971,0.1635,0.1962,0
1464584,0.3977,0.0036,0.0172,0.9174,0.2941,0.1634,0.2312,0
1464751,0.3978,0.0037,0.0173,0.9173,0.2925,0.1545,0.2265,0
1464918,0.3979,0.0037,0.0173,0.9173,0.2982,0.1607,0.2041,0
1465085,0.3980,0.0038,0.0174,0.9172,0.3103,0.1723,0.2251,0
1465251,0.3981,0.0038,0.0175,0.9172,0.3130,0.1696,0.1881,0
1465418,0.3981,0.0039,0.0176,0.9171,0.3021,0.1777,0.1956,0
1465585,0.3982,0.0039,0.0176,0.9171,0.2973,0.1762,0.1863,0
1465751,0.3983,0.0040,0.0177,0.9171,0.3040,0.1705,0.2346,0
1465918,0.3984,0.0041,0.0178,0.9170,0.3036,0.1739,0.2157,0
1466085,0.3985,0.0041,0.0178,0.9170,0.3065,0.1730,0.2263,0
1466251,0.3986,0.0041,0.0179,0.9169,0.2997,0.1638,0.1932,0
1466418,0.3987,0.0042,0.0180,0.9169,0.3090,0.1728,0.2099,0
1466585,0.3988,0.0042,0.0180,0.9169,0.3057,0.1707,0.2014,0
1466751,0.3928,-0.0069,0.0036,0.9196,0.0005,-0.0221,0.2190,0
1466918,0.3929,-0.0069,0.0036,0.9196,-0.0002,-0.0136,0.2139,0
1467085,0.3928,-0.0069,0.0036,0.9196,0.0040,-0.0025,0.1978,0
1467251,0.3928,-0.0069,0.0036,0.9196,-0.0027,-0.0052,0.2270,0
1467418,0.3927,-0.0069,0.0036,0.9196,0.0093,-0.0018,0.2342,0
1467585,0.3927,-0.0069,0.0036,0.9196,-0.0095,-0.0091,0.2126,0
1467751,0.3927,-0.0069,0.0036,0.9196,0.0125,0.0075,0.2174,0
1467918,0.3926,-0.0069,0.0036,0.9197,-0.0023,-0.0014,0.2085,0
1468085,0.3926,-0.0069,0.0036,0.9197,-0.0003,0.0051,0.2174,0
1468251,0.3926,-0.0069,0.0036,0.9197,0.0101,0.0101,0.2352,0
1468418,0.3925,-0.0069,0.0036,0.9197,-0.0116,-0.0077,0.2069,0
1468585,0.3925,-0.0069,0.0036,0.9197,-0.0014,-0.0102,0.2275,0
1468751,0.3925,-0.0069,0.0036,0.9197,-0.0120,-0.0008,0.2125,0
1468918,0.3925,-0.0069,0.0036,0.9197,0.0014,0.0060,0.1980,0
1469085,0.3924,-0.0069,0.0036,0.9198,-0.0083,-0.0159,0.2044,0
1469251,0.3924,-0.0069,0.0036,0.9198,-0.0086,-0.0147,0.2139,0
1469418,0.3924,-0.0069,0.0036,0.9198,-0.0068,-0.0001,0.1993,0
1469585,0.3923,-0.0069,0.0036,0.9198,-0.0003,-0.0013,0.2073,0
1469751,0.3923,-0.0069,0.0036,0.9198,-0.0086,0.0019,0.2294,0
1469918,0.3923,-0.0069,0.0036,0.9198,0.0072,-0.0063,0.1941,0
