DeviceTag: Movella DOT1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 14:42:34.243,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1443911,0.2560,-0.0028,0.0013,0.9667,0.0034,-0.0088,-0.1114,0
1444078,0.2558,-0.0029,0.0016,0.9667,-0.0018,0.0193,-0.1254,0
1444245,0.2556,-0.0029,0.0016,0.9668,0.0037,0.0005,-0.1286,0
1444411,0.2553,-0.0029,0.0017,0.9668,0.0199,0.0082,-0.1178,0
1444578,0.2554,-0.0030,0.0018,0.9668,-0.0045,0.0155,-0.1432,0
1444745,0.2555,-0.0031,0.0019,0.9668,0.0018,0.0224,-0.1145,0
1444911,0.2559,-0.0031,0.0020,0.9667,-0.0026,0.0352,-0.1064,0
1445078,0.2557,-0.0032,0.0020,0.9667,0.0190,0.0202,-0.1108,0
1445245,0.2558,-0.0032,0.0021,0.9667,0.0052,0.0040,-0.1139,0
1445411,0.2558,-0.0033,0.0022,0.9667,0.0066,0.0116,-0.1298,0
1445578,0.2560,-0.0033,0.0023,0.9667,-0.0079,0.0202,-0.0990,0
1445745,0.2559,-0.0033,0.0025,0.9667,0.0050,0.0172,-0.0873,0
1445911,0.2561,-0.0034,0.0026,0.9667,0.0135,0.0333,-0.1243,0
1446078,0.2560,-0.0034,0.0027,0.9667,-0.0046,0.0337,-0.1087,0
1446245,0.2557,-0.0035,0.0028,0.9667,-0.0017,0.0338,-0.1351,0
1446411,0.2557,-0.0035,0.0030,0.9667,-0.0132,0.0273,-0.1135,0
1446578,0.2556,-0.0035,0.0031,0.9668,0.0092,0.0437,-0.0867,0
1446745,0.2557,-0.0036,0.0032,0.9668,0.0012,0.0381,-0.1336,0
1446911,0.2557,-0.0036,0.0034,0.9668,-0.0058,0.0552,-0.1214,0
1447078,0.2558,-0.0036,0.0035,0.9667,0.0102,0.0432,-0.1261,0
1447245,0.2559,-0.0037,0.0036,0.9667,0.0099,0.0486,-0.1006,0
1447411,0.2558,-0.0037,0.0038,0.9667,-0.0024,0.0372,-0.0886,0
1447578,0.2556,-0.0037,0.0039,0.9668,0.0021,0.0440,-0.1177,0
1447745,0.2554,-0.0038,0.0040,0.9668,0.0069,0.0589,-0.1003,0
1447911,0.2552,-0.0038,0.0042,0.9669,0.0064,0.0488,-0.1260,0
1448078,0.2553,-0.0038,0.0043,0.9669,-0.0035,0.0590,-0.1314,0
1448245,0.2553,-0.0039,0.0044,0.9668,-0.0068,0.0680,-0.1267,0
1448411,0.2550,-0.0039,0.0046,0.9669,-0.0010,0.0678,-0.1119,0
1448578,0.2549,-0.0039,0.0047,0.9669,-0.0015,0.0460,-0.1049,0
1448745,0.2550,-0.0040,0.0048,0.9669,-0.0141,0.0647,-0.1167,0
1448911,0.2550,-0.0040,0.0050,0.9669,-0.0035,0.0715,-0.1024,0
1449078,0.2550,-0.0040,0.0051,0.9669,0.0013,0.0683,-0.0845,0
1449245,0.2548,-0.0041,0.0052,0.9670,0.0032,0.0847,-0.1157,0
1449411,0.2548,-0.0041,0.0054,0.9670,-0.0109,0.0689,-0.1103,0
1449578,0.2548,-0.0041,0.0055,0.9670,0.0102,0.0783,-0.1341,0
1449745,0.2548,-0.0041,0.0056,0.9670,-0.0115,0.0920,-0.0812,0
1449911,0.2548,-0.0042,0.0058,0.9670,0.0045,0.0916,-0.1237,0
1450078,0.2548,-0.0042,0.0059,0.9670,0.0131,0.0885,-0.0987,0
1450245,0.2547,-0.0042,0.0060,0.9670,0.0080,0.0864,-0.1234,0
1450411,0.2547,-0.0043,0.0062,0.9670,-0.0177,0.1027,-0.1119,0
1450578,0.2547,-0.0043,0.0063,0.9670,0.0055,0.1019,-0.1134,0
1450745,0.2547,-0.0043,0.0065,0.9670,0.0113,0.1066,-0.1005,0
1450911,0.2546,-0.0044,0.0066,0.9670,-0.0002,0.1046,-0.1111,0
1451078,0.2546,-0.0044,0.0067,0.9670,-0.0011,0.1112,-0.1110,0
1451245,0.2545,-0.0044,0.0068,0.9670,-0.0136,0.0958,-0.1390,0
1451411,0.2545,-0.0045,0.0070,0.9670,0.0042,0.0955,-0.1116,0
1451578,0.2543,-0.0045,0.0071,0.9671,-0.0111,0.1122,-0.1185,0
1451745,0.2544,-0.0045,0.0073,0.9671,0.0013,0.1160,-0.1176,0
1451911,0.2544,-0.0045,0.0074,0.9671,0.0175,0.1199,-0.1166,0
1452078,0.2545,-0.0046,0.0075,0.9670,0.0054,0.1294,-0.1121,0
1452245,0.2544,-0.0046,0.0077,0.9671,0.0048,0.1292,-0.1228,0
1452411,0.2545,-0.0046,0.0078,0.9670,-0.0039,0.1195,-0.1173,0
1452578,0.2547,-0.0046,0.0079,0.9670,0.0045,0.1290,-0.1063,0
1452745,0.2548,-0.0047,0.0081,0.9670,0.0005,0.1403,-0.1235,0
1452911,0.2546,-0.0047,0.0082,0.9670,0.0071,0.1427,-0.1090,0
1453078,0.2547,-0.0047,0.0083,0.9670,0.0023,0.1479,-0.1152,0
1453245,0.2546,-0.0048,0.0085,0.9670,0.0042,0.1483,-0.1151,0
1453411,0.2545,-0.0048,0.0086,0.9670,-0.0029,0.1276,-0.1158,0
1453578,0.2546,-0.0048,0.0087,0.9670,0.0045,0.1278,-0.1387,0
1453745,0.2546,-0.0048,0.0088,0.9670,0.0012,0.1427,-0.1249,0
1453911,0.2546,-0.0049,0.0090,0.9670,-0.0120,0.1693,-0.1179,0
1454078,0.2544,-0.0049,0.0091,0.9670,-0.0025,0.1571,-0.1231,0
1454245,0.2544,-0.0049,0.0092,0.9670,0.0032,0.1585,-0.0985,0
1454411,0.2544,-0.0049,0.0093,0.9670,0.0019,0.1595,-0.0715,0
1454578,0.2544,-0.0050,0.0095,0.9670,0.0097,0.1506,-0.1110,0
1454745,0.2544,-0.0050,0.0096,0.9670,0.0099,0.1699,-0.1105,0
1454911,0.2544,-0.0050,0.0097,0.9670,-0.0049,0.1711,-0.1296,0
1455078,0.2543,-0.0050,0.0098,0.9671,0.0104,0.1700,-0.1275,0
1455245,0.2544,-0.0051,0.0100,0.9670,0.0151,0.1804,-0.1204,0
1455411,0.2544,-0.0051,0.0101,0.9670,0.0098,0.1681,-0.1103,0
1455578,0.2544,-0.0051,0.0102,0.9670,0.0083,0.1773,-0.1108,0
1455745,0.2544,-0.0051,0.0103,0.9670,0.0032,0.1722,-0.1167,0
1455911,0.2544,-0.0052,0.0104,0.9670,0.0059,0.1721,-0.0908,0
1456078,0.2545,-0.0052,0.0105,0.9670,0.0024,0.1825,-0.1209,0
1456245,0.2544,-0.0052,0.0107,0.9670,0.0072,0.1922,-0.1238,0
1456411,0.2544,-0.0053,0.0108,0.9670,-0.0140,0.1826,-0.1104,0
1456578,0.2544,-0.0053,0.0109,0.9670,0.0109,0.1967,-0.1278,0
1456745,0.2544,-0.0053,0.0110,0.9670,-0.0073,0.1842,-0.1176,0
1456911,0.2544,-0.0053,0.0111,0.9670,-0.0038,0.1850,-0.0978,0
1457078,0.2544,-0.0054,0.0112,0.9670,-0.0005,0.1879,-0.1133,0
1457245,0.2544,-0.0054,0.0113,0.9670,0.0035,0.2069,-0.1182,0
1457411,0.2544,-0.0054,0.0114,0.9670,-0.0065,0.1910,-0.1075,0
1457578,0.2543,-0.0054,0.0116,0.9670,0.0207,0.2010,-0.1277,0
1457745,0.2544,-0.0055,0.0117,0.9670,0.0169,0.2055,-0.1156,0
1457911,0.2544,-0.0055,0.0118,0.9670,-0.0066,0.2112,-0.1033,0
1458078,0.2544,-0.0055,0.0119,0.9670,0.0111,0.2018,-0.1244,0
1458245,0.2544,-0.0055,0.0120,0.9670,-0.0086,0.2203,-0.1227,0
1458411,0.2544,-0.0056,0.0121,0.9670,-0.0033,0.2130,-0.1267,0
1458578,0.2544,-0.0056,0.0122,0.9670,-0.0035,0.2183,-0.1135,0
1458745,0.2544,-0.0056,0.0123,0.9670,0.0067,0.2269,-0.1234,0
1458911,0.2543,-0.0057,0.0124,0.9670,0.0096,0.2177,-0.1211,0
1459078,0.2544,-0.0057,0.0125,0.9670,0.0199,0.2259,-0.1385,0
1459245,0.2543,-0.0057,0.0126,0.9670,0.0129,0.2126,-0.1178,0
1459411,0.2543,-0.0057,0.0127,0.9670,-0.0104,0.2247,-0.1037,0
1459578,0.2543,-0.0057,0.0128,0.9670,0.0031,0.2351,-0.0947,0
1459745,0.2543,-0.0058,0.0129,0.9670,-0.0090,0.2302,-0.1328,0
1459911,0.2543,-0.0058,0.0130,0.9670,0.0071,0.2361,-0.1275,0
1460078,0.2543,-0.0058,0.0131,0.9670,0.0187,0.2294,-0.1469,0
1460245,0.2542,-0.0058,0.0132,0.9670,-0.0020,0.2421,-0.1297,0
1460412,0.2542,-0.0059,0.0132,0.9670,0.0024,0.2289,-0.1240,0
1460578,0.2542,-0.0059,0.0133,0.9670,0.0075,0.2390,-0.1061,0
1460745,0.2542,-0.0059,0.0134,0.9670,0.0072,0.2386,-0.1189,0
1460912,0.2541,-0.0059,0.0135,0.9671,-0.0060,0.2474,-0.1235,0
1461078,0.2541,-0.0059,0.0136,0.9671,0.0032,0.2447,-0.1135,0
1461245,0.2541,-0.0060,0.0137,0.9671,-0.0028,0.2533,-0.0933,0
1461412,0.2540,-0.0060,0.0137,0.9671,0.0167,0.2370,-0.1226,0
1461578,0.2540,-0.0060,0.0138,0.9671,-0.0007,0.2408,-0.1140,0
1461745,0.2541,-0.0060,0.0139,0.9671,0.0147,0.2629,-0.0925,0
1461912,0.2540,-0.0060,0.0140,0.9671,0.0175,0.2664,-0.1147,0
1462078,0.2540,-0.0061,0.0140,0.9671,0.0144,0.2574,-0.1315,0
1462245,0.2540,-0.0061,0.0141,0.9671,0.0208,0.2532,-0.1321,0
1462412,0.2540,-0.0061,0.0142,0.9671,0.0150,0.2490,-0.1215,0
1462578,0.2540,-0.0061,0.0143,0.9671,0.0086,0.2589,-0.1039,0
