DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 14:42:34.424,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1444378,0.6792,-0.0069,0.0077,0.7338,-0.0071,-0.0154,-0.2839,0
1444544,0.6795,-0.0068,0.0079,0.7336,0.0184,-0.0078,-0.2943,0
1444711,0.6795,-0.0069,0.0079,0.7336,-0.0135,0.0097,-0.2862,0
1444878,0.6798,-0.0068,0.0079,0.7333,0.0032,-0.0050,-0.3051,0
1445044,0.6800,-0.0067,0.0080,0.7332,-0.0036,0.0107,-0.2666,0
1445211,0.6802,-0.0066,0.0080,0.7330,0.0028,-0.0032,-0.2768,0
1445378,0.6801,-0.0065,0.0080,0.7330,0.0056,-0.0010,-0.2811,0
1445544,0.6800,-0.0064,0.0080,0.7332,0.0106,-0.0050,-0.2713,0
1445711,0.6801,-0.0063,0.0080,0.7331,0.0225,-0.0066,-0.2702,0
1445878,0.6801,-0.0062,0.0080,0.7330,0.0195,-0.0057,-0.2759,0
1446044,0.6802,-0.0062,0.0080,0.7329,0.0092,0.0071,-0.2773,0
1446211,0.6802,-0.0061,0.0080,0.7329,0.0033,-0.0145,-0.2848,0
1446378,0.6803,-0.0060,0.0081,0.7329,0.0140,0.0018,-0.2820,0
1446544,0.6803,-0.0059,0.0081,0.7328,0.0179,-0.0152,-0.2925,0
1446711,0.6804,-0.0059,0.0081,0.7328,0.0135,0.0027,-0.2751,0
1446878,0.6805,-0.0058,0.0081,0.7327,0.0234,-0.0048,-0.2743,0
1447044,0.6805,-0.0057,0.0081,0.7326,0.0177,-0.0170,-0.2901,0
1447211,0.6808,-0.0056,0.0081,0.7324,0.0071,-0.0129,-0.2738,0
1447378,0.6810,-0.0055,0.0081,0.7322,0.0270,0.0020,-0.2886,0
1447544,0.6811,-0.0055,0.0081,0.7321,0.0302,-0.0126,-0.2824,0
1447711,0.6812,-0.0054,0.0082,0.7320,0.0193,-0.0014,-0.2887,0
1447878,0.6813,-0.0053,0.0082,0.7319,0.0305,-0.0117,-0.2805,0
1448044,0.6816,-0.0052,0.0082,0.7317,0.0228,-0.0125,-0.2783,0
1448211,0.6819,-0.0052,0.0082,0.7314,0.0181,-0.0118,-0.2782,0
1448378,0.6819,-0.0051,0.0082,0.7314,0.0285,-0.0031,-0.2786,0
1448544,0.6820,-0.0050,0.0083,0.7313,0.0348,-0.0279,-0.2905,0
1448711,0.6823,-0.0049,0.0083,0.7310,0.0259,0.0001,-0.2651,0
1448878,0.6823,-0.0049,0.0083,0.7310,0.0208,-0.0149,-0.3043,0
1449044,0.6823,-0.0048,0.0083,0.7310,0.0281,-0.0020,-0.2697,0
1449211,0.6824,-0.0047,0.0083,0.7309,0.0333,-0.0199,-0.2773,0
1449378,0.6825,-0.0046,0.0083,0.7308,0.0317,-0.0275,-0.2620,0
1449544,0.6826,-0.0046,0.0083,0.7308,0.0384,-0.0342,-0.2850,0
1449711,0.6826,-0.0045,0.0084,0.7307,0.0415,-0.0233,-0.2826,0
1449878,0.6826,-0.0044,0.0084,0.7307,0.0370,-0.0319,-0.2773,0
1450044,0.6827,-0.0044,0.0084,0.7306,0.0501,-0.0292,-0.2962,0
1450211,0.6828,-0.0043,0.0084,0.7306,0.0392,-0.0204,-0.2888,0
1450378,0.6829,-0.0042,0.0084,0.7305,0.0381,-0.0295,-0.2954,0
1450544,0.6827,-0.0041,0.0085,0.7306,0.0509,-0.0292,-0.3025,0
1450711,0.6828,-0.0041,0.0085,0.7305,0.0470,-0.0245,-0.2905,0
1450878,0.6829,-0.0040,0.0085,0.7304,0.0450,-0.0324,-0.2833,0
1451044,0.6830,-0.0039,0.0085,0.7304,0.0501,-0.0204,-0.2722,0
1451211,0.6831,-0.0039,0.0085,0.7303,0.0462,-0.0291,-0.2692,0
1451378,0.6831,-0.0038,0.0086,0.7302,0.0584,-0.0182,-0.2859,0
1451544,0.6832,-0.0037,0.0086,0.7301,0.0494,-0.0305,-0.2767,0
1451711,0.6833,-0.0036,0.0086,0.7301,0.0498,-0.0187,-0.2718,0
1451878,0.6834,-0.0036,0.0086,0.7300,0.0557,-0.0217,-0.3036,0
1452045,0.6835,-0.0035,0.0086,0.7299,0.0625,-0.0402,-0.2743,0
1452211,0.6836,-0.0034,0.0087,0.7298,0.0440,-0.0231,-0.2974,0
1452378,0.6837,-0.0033,0.0087,0.7297,0.0490,-0.0208,-0.2792,0
1452545,0.6841,-0.0033,0.0087,0.7293,0.0488,-0.0377,-0.2739,0
1452711,0.6841,-0.0032,0.0087,0.7293,0.0672,-0.0343,-0.2757,0
1452878,0.6843,-0.0031,0.0087,0.7292,0.0651,-0.0309,-0.2993,0
1453045,0.6846,-0.0031,0.0087,0.7288,0.0659,-0.0465,-0.2655,0
1453211,0.6847,-0.0030,0.0088,0.7288,0.0682,-0.0403,-0.2700,0
1453378,0.6847,-0.0029,0.0088,0.7288,0.0672,-0.0395,-0.3011,0
1453545,0.6846,-0.0028,0.0088,0.7288,0.0606,-0.0376,-0.2498,0
1453711,0.6847,-0.0028,0.0088,0.7288,0.0640,-0.0430,-0.2792,0
1453878,0.6847,-0.0027,0.0088,0.7287,0.0686,-0.0300,-0.2788,0
1454045,0.6848,-0.0026,0.0088,0.7287,0.0715,-0.0367,-0.2914,0
1454211,0.6847,-0.0025,0.0089,0.7288,0.0901,-0.0432,-0.2796,0
1454378,0.6848,-0.0025,0.0089,0.7287,0.0641,-0.0395,-0.2942,0
1454545,0.6850,-0.0024,0.0089,0.7285,0.0766,-0.0392,-0.2669,0
1454711,0.6851,-0.0023,0.0089,0.7284,0.0746,-0.0439,-0.2953,0
1454878,0.6851,-0.0023,0.0089,0.7283,0.0877,-0.0463,-0.2645,0
1455045,0.6853,-0.0022,0.0089,0.7282,0.0746,-0.0428,-0.2898,0
1455211,0.6853,-0.0021,0.0089,0.7282,0.0763,-0.0424,-0.2784,0
1455378,0.6853,-0.0021,0.0090,0.7282,0.0895,-0.0468,-0.2819,0
1455545,0.6854,-0.0020,0.0090,0.7281,0.0760,-0.0537,-0.2441,0
1455711,0.6855,-0.0019,0.0090,0.7280,0.0897,-0.0416,-0.2756,0
1455878,0.6856,-0.0019,0.0090,0.7279,0.0817,-0.0480,-0.2876,0
1456045,0.6856,-0.0018,0.0090,0.7279,0.0853,-0.0466,-0.2906,0
1456211,0.6858,-0.0017,0.0091,0.7277,0.0837,-0.0587,-0.3012,0
1456378,0.6860,-0.0017,0.0091,0.7275,0.0861,-0.0596,-0.2770,0
1456545,0.6862,-0.0016,0.0091,0.7274,0.0758,-0.0451,-0.2546,0
1456711,0.6863,-0.0016,0.0091,0.7273,0.0898,-0.0595,-0.2991,0
1456878,0.6863,-0.0015,0.0091,0.7273,0.0924,-0.0544,-0.2789,0
1457045,0.6863,-0.0014,0.0091,0.7273,0.0841,-0.0436,-0.2928,0
1457211,0.6864,-0.0014,0.0092,0.7272,0.0947,-0.0480,-0.2816,0
1457378,0.6866,-0.0013,0.0092,0.7270,0.1056,-0.0571,-0.2968,0
1457545,0.6867,-0.0012,0.0092,0.7269,0.0807,-0.0598,-0.2721,0
1457711,0.6868,-0.0012,0.0092,0.7268,0.0869,-0.0604,-0.2773,0
1457878,0.6869,-0.0011,0.0092,0.7267,0.0881,-0.0521,-0.2786,0
1458045,0.6869,-0.0011,0.0092,0.7267,0.1034,-0.0575,-0.2901,0
1458211,0.6871,-0.0010,0.0092,0.7265,0.0911,-0.0512,-0.2788,0
1458378,0.6872,-0.0009,0.0093,0.7264,0.0938,-0.0574,-0.2848,0
1458545,0.6873,-0.0009,0.0093,0.7264,0.0995,-0.0398,-0.2803,0
1458711,0.6874,-0.0008,0.0093,0.7262,0.1005,-0.0494,-0.2833,0
1458878,0.6875,-0.0008,0.0093,0.7261,0.1068,-0.0585,-0.2560,0
1459045,0.6876,-0.0007,0.0093,0.7260,0.0955,-0.0645,-0.2874,0
1459211,0.6878,-0.0007,0.0093,0.7259,0.1051,-0.0581,-0.2637,0
1459378,0.6878,-0.0006,0.0093,0.7259,0.1025,-0.0610,-0.2761,0
1459545,0.6878,-0.0006,0.0093,0.7259,0.0986,-0.0480,-0.2853,0
1459711,0.6878,-0.0005,0.0093,0.7259,0.1024,-0.0448,-0.2818,0
1459878,0.6878,-0.0005,0.0094,0.7258,0.1173,-0.0737,-0.2758,0
1460045,0.6879,-0.0004,0.0094,0.7258,0.1108,-0.0570,-0.2801,0
1460211,0.6879,-0.0004,0.0094,0.7257,0.1022,-0.0473,-0.2796,0
1460378,0.6880,-0.0003,0.0094,0.7256,0.1196,-0.0677,-0.2870,0
1460545,0.6881,-0.0003,0.0094,0.7255,0.1159,-0.0760,-0.2707,0
1460711,0.6883,-0.0002,0.0094,0.7254,0.1095,-0.0654,-0.2878,0
1460878,0.6883,-0.0002,0.0094,0.7253,0.1065,-0.0621,-0.2850,0
1461045,0.6884,-0.0002,0.0094,0.7253,0.1096,-0.0766,-0.2996,0
1461211,0.6884,-0.0001,0.0094,0.7252,0.1250,-0.0699,-0.2752,0
1461378,0.6885,-0.0001,0.0094,0.7251,0.1156,-0.0588,-0.2720,0
1461545,0.6886,-0.0000,0.0095,0.7251,0.1068,-0.0683,-0.2837,0
1461711,0.6887,0.0000,0.0095,0.7250,0.1030,-0.0675,-0.2821,0
1461878,0.6888,0.0001,0.0095,0.7249,0.1048,-0.0723,-0.3092,0
1462045,0.6889,0.0001,0.0095,0.7248,0.1053,-0.0687,-0.2823,0
1462211,0.6890,0.0002,0.0095,0.7247,0.1144,-0.0762,-0.3044,0
1462378,0.6892,0.0002,0.0095,0.7245,0.1125,-0.0672,-0.2869,0
1462545,0.6892,0.0002,0.0095,0.7245,0.1133,-0.0681,-0.2737,0
1462711,0.6893,0.0003,0.0095,0.7244,0.1205,-0.0694,-0.2703,0
1462878,0.6893,0.0003,0.0095,0.7244,0.1240,-0.0780,-0.2877,0
1463045,0.6893,0.0004,0.0095,0.7244,0.1264,-0.0712,-0.2798,0
1463211,0.6894,0.0004,0.0095,0.7243,0.1173,-0.0756,-0.2779,0
1463378,0.6894,0.0004,0.0095,0.7243,0.1219,-0.0782,-0.2771,0
1463545,0.6895,0.0005,0.0095,0.7242,0.1109,-0.0889,-0.2903,0
1463711,0.6896,0.0005,0.0095,0.7242,0.1260,-0.0599,-0.2656,0
1463878,0.6896,0.0005,0.0096,0.7241,0.1285,-0.0689,-0.2847,0
1464045,0.6896,0.0006,0.0096,0.7241,0.1256,-0.0644,-0.2515,0
1464211,0.6864,-0.0067,0.0077,0.7272,0.0001,-0.0114,-0.2754,0
1464378,0.6864,-0.0067,0.0077,0.7272,-0.0024,-0.0238,-0.2765,0
1464545,0.6864,-0.0067,0.0077,0.7272,-0.0040,-0.0062,-0.2920,0
1464711,0.6864,-0.0067,0.0077,0.7272,-0.0108,0.0010,-0.2694,0
1464878,0.6864,-0.0067,0.0077,0.7272,-0.0092,-0.0112,-0.2918,0
1465045,0.6864,-0.0067,0.0077,0.7272,0.0073,-0.0022,-0.2733,0
1465211,0.6864,-0.0067,0.0077,0.7272,-0.0008,0.0072,-0.2929,0
1465378,0.6864,-0.0067,0.0078,0.7272,0.0105,-0.0056,-0.2802,0
1465545,0.6864,-0.0067,0.0078,0.7272,-0.0026,-0.0035,-0.2923,0
1465711,0.6864,-0.0067,0.0078,0.7271,0.0064,-0.0094,-0.2724,0
1465878,0.6864,-0.0067,0.0078,0.7271,0.0108,0.0021,-0.2928,0
1466045,0.6864,-0.0067,0.0078,0.7271,0.0005,-0.0108,-0.3056,0
1466211,0.6864,-0.0067,0.0078,0.7271,-0.0010,-0.0074,-0.2826,0
1466378,0.6864,-0.0067,0.0078,0.7271,0.0042,-0.0014,-0.2898,0
1466545,0.6864,-0.0067,0.0078,0.7271,0.0025,0.0062,-0.2852,0
1466711,0.6864,-0.0067,0.0078,0.7271,0.0049,0.0085,-0.3004,0
1466878,0.6864,-0.0067,0.0078,0.7271,0.0014,-0.0123,-0.2992,0
1467045,0.6864,-0.0067,0.0078,0.7271,-0.0208,-0.0087,-0.2770,0
1467211,0.6864,-0.0067,0.0078,0.7271,-0.0023,0.0048,-0.2640,0
1467378,0.6865,-0.0067,0.0078,0.7271,0.0159,0.0010,-0.2828,0
1467545,0.6865,-0.0067,0.0078,0.7271,0.0116,0.0003,-0.2709,0
1467711,0.6865,-0.0067,0.0078,0.7271,0.0143,-0.0070,-0.2956,0
1467878,0.6865,-0.0067,0.0078,0.7271,-0.0087,-0.0026,-0.2823,0
1468045,0.6865,-0.0067,0.0078,0.7271,-0.0011,-0.0132,-0.2833,0
1468211,0.6865,-0.0067,0.0078,0.7271,-0.0138,-0.0174,-0.2889,0
1468378,0.6865,-0.0067,0.0078,0.7271,-0.0135,0.0059,-0.2839,0
1468545,0.6865,-0.0067,0.0078,0.7271,-0.0144,-0.0041,-0.2819,0
1468712,0.6865,-0.0067,0.0078,0.7271,0.0036,-0.0035,-0.2790,0
1468878,0.6865,-0.0067,0.0078,0.7271,0.0028,-0.0013,-0.3011,0
1469045,0.6865,-0.0067,0.0078,0.7270,0.0064,-0.0026,-0.2879,0
1469212,0.6865,-0.0067,0.0078,0.7270,0.0073,-0.0072,-0.3032,0
1469378,0.6865,-0.0067,0.0078,0.7270,0.0127,-0.0219,-0.2539,0
1469545,0.6865,-0.0067,0.0078,0.7270,0.0085,-0.0032,-0.2726,0
1469712,0.6865,-0.0067,0.0078,0.7270,0.0097,-0.0022,-0.2877,0
1469878,0.6865,-0.0067,0.0078,0.7270,0.0009,0.0001,-0.2798,0
1470045,0.6865,-0.0067,0.0078,0.7270,0.0018,-0.0004,-0.2828,0
1470212,0.6865,-0.0067,0.0078,0.7270,0.0174,-0.0064,-0.2610,0
1470378,0.6865,-0.0067,0.0078,0.7270,-0.0091,-0.0019,-0.2811,0
1470545,0.6866,-0.0067,0.0078,0.7270,0.0080,0.0109,-0.2976,0
1470712,0.6864,-0.0067,0.0078,0.7271,-0.0040,-0.0117,-0.2776,0
1470878,0.6863,-0.0067,0.0078,0.7272,-0.0006,-0.0040,-0.2796,0
1471045,0.6863,-0.0067,0.0078,0.7272,-0.0043,0.0097,-0.2656,0
1471212,0.6862,-0.0067,0.0078,0.7274,0.0011,0.0015,-0.2832,0
1471378,0.6862,-0.0067,0.0078,0.7274,0.0053,0.0071,-0.2729,0
1471545,0.6861,-0.0067,0.0078,0.7274,-0.0020,-0.0028,-0.2814,0
1471712,0.6861,-0.0067,0.0078,0.7275,-0.0031,-0.0060,-0.2673,0
1471878,0.6860,-0.0067,0.0078,0.7275,-0.0103,0.0018,-0.2795,0
1472045,0.6860,-0.0067,0.0078,0.7275,-0.0020,-0.0021,-0.2822,0
1472212,0.6861,-0.0067,0.0078,0.7274,0.0028,-0.0088,-0.2959,0
1472378,0.6861,-0.0067,0.0078,0.7274,-0.0010,-0.0075,-0.2677,0
1472545,0.6860,-0.0067,0.0078,0.7275,-0.0018,-0.0043,-0.2881,0
1472712,0.6860,-0.0067,0.0078,0.7276,0.0115,-0.0037,-0.2649,0
1472878,0.6860,-0.0067,0.0078,0.7276,0.0032,0.0054,-0.2809,0
1473045,0.6859,-0.0067,0.0078,0.7276,0.0101,-0.0051,-0.2769,0
1473212,0.6859,-0.0067,0.0078,0.7276,-0.0034,-0.0068,-0.2771,0
1473378,0.6858,-0.0067,0.0078,0.7277,0.0086,-0.0119,-0.2858,0
1473545,0.6858,-0.0067,0.0078,0.7277,0.0013,-0.0034,-0.2749,0
1473712,0.6857,-0.0067,0.0078,0.7278,0.0002,-0.0062,-0.2630,0
1473878,0.6857,-0.0067,0.0078,0.7278,-0.0038,0.0063,-0.2904,0
1474045,0.6857,-0.0067,0.0078,0.7278,0.0001,0.0035,-0.2703,0
1474212,0.6857,-0.0067,0.0078,0.7279,-0.0122,-0.0020,-0.2804,0
1474378,0.6856,-0.0067,0.0078,0.7279,0.0112,-0.0030,-0.3005,0
1474545,0.6856,-0.0067,0.0078,0.7279,0.0059,0.0097,-0.2714,0
1474712,0.6856,-0.0067,0.0078,0.7279,0.0018,-0.0063,-0.2725,0
1474878,0.6856,-0.0067,0.0078,0.7279,-0.0060,-0.0010,-0.2931,0
1475045,0.6855,-0.0067,0.0078,0.7280,-0.0014,-0.0018,-0.2476,0
1475212,0.6855,-0.0067,0.0078,0.7280,-0.0081,-0.0193,-0.2780,0
1475378,0.6855,-0.0067,0.0078,0.7280,-0.0066,0.0096,-0.2736,0
1475545,0.6854,-0.0067,0.0078,0.7281,-0.0040,0.0022,-0.2775,0
1475712,0.6854,-0.0067,0.0078,0.7281,0.0030,-0.0038,-0.2741,0
1475878,0.6854,-0.0067,0.0078,0.7281,-0.0039,-0.0035,-0.2820,0
1476045,0.6853,-0.0067,0.0078,0.7282,-0.0025,-0.0023,-0.2624,0
