DeviceTag: Movella DOT3,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 14:42:34.058,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1441118,0.5914,-0.0028,0.0027,0.8064,-0.0036,0.0039,-0.0096,0
1441284,0.5912,-0.0024,0.0029,0.8065,0.0207,-0.0085,-0.0236,0
1441451,0.5908,-0.0022,0.0031,0.8068,0.0172,-0.0091,0.0020,0
1441618,0.5908,-0.0021,0.0032,0.8068,0.0175,-0.0078,-0.0327,0
1441784,0.5906,-0.0020,0.0034,0.8070,0.0160,-0.0027,-0.0120,0
1441951,0.5901,-0.0018,0.0036,0.8073,0.0496,0.0090,-0.0144,0
1442118,0.5898,-0.0016,0.0037,0.8075,0.0269,-0.0031,-0.0177,0
1442284,0.5898,-0.0014,0.0038,0.8075,0.0307,-0.0058,-0.0131,0
1442451,0.5898,-0.0012,0.0039,0.8076,0.0281,-0.0165,0.0032,0
1442618,0.5899,-0.0010,0.0041,0.8074,0.0425,-0.0099,-0.0245,0
1442784,0.5900,-0.0007,0.0042,0.8074,0.0511,-0.0198,0.0214,0
1442951,0.5900,-0.0005,0.0044,0.8074,0.0627,-0.0053,0.0047,0
1443118,0.5902,-0.0003,0.0046,0.8073,0.0704,0.0006,0.0045,0
1443284,0.5903,-0.0001,0.0047,0.8072,0.0634,-0.0037,0.0034,0
1443451,0.5904,0.0001,0.0049,0.8071,0.0807,-0.0105,-0.0070,0
1443618,0.5908,0.0004,0.0050,0.8068,0.0901,-0.0105,-0.0109,0
1443784,0.5909,0.0006,0.0052,0.8067,0.0813,0.0158,0.0133,0
1443951,0.5910,0.0008,0.0053,0.8067,0.0837,-0.0112,0.0103,0
1444118,0.5911,0.0010,0.0054,0.8066,0.0988,-0.0167,-0.0002,0
1444284,0.5913,0.0013,0.0056,0.8065,0.1020,-0.0124,0.0024,0
1444451,0.5913,0.0015,0.0057,0.8065,0.1076,-0.0081,-0.0045,0
1444618,0.5915,0.0017,0.0059,0.8063,0.1080,-0.0073,0.0064,0
1444784,0.5917,0.0019,0.0060,0.8062,0.1077,-0.0056,-0.0029,0
1444951,0.5915,0.0022,0.0062,0.8063,0.1319,-0.0220,-0.0171,0
1445118,0.5915,0.0024,0.0063,0.8063,0.1208,-0.0202,0.0162,0
1445284,0.5916,0.0027,0.0064,0.8062,0.1258,-0.0208,-0.0419,0
1445451,0.5919,0.0029,0.0066,0.8059,0.1223,-0.0010,-0.0176,0
1445618,0.5921,0.0031,0.0068,0.8058,0.1545,-0.0241,0.0042,0
1445784,0.5921,0.0034,0.0069,0.8058,0.1572,-0.0308,-0.0330,0
1445951,0.5923,0.0036,0.0070,0.8057,0.1541,-0.0196,-0.0064,0
1446118,0.5923,0.0038,0.0072,0.8057,0.1609,-0.0220,0.0044,0
1446284,0.5922,0.0041,0.0073,0.8057,0.1676,-0.0185,-0.0102,0
1446451,0.5923,0.0043,0.0075,0.8057,0.1709,-0.0201,-0.0015,0
1446618,0.5923,0.0045,0.0076,0.8056,0.1713,-0.0163,-0.0287,0
1446784,0.5923,0.0047,0.0078,0.8057,0.1834,-0.0212,-0.0210,0
1446951,0.5924,0.0050,0.0079,0.8056,0.1758,-0.0266,-0.0142,0
1447118,0.5925,0.0052,0.0081,0.8055,0.1925,-0.0138,-0.0154,0
1447284,0.5926,0.0054,0.0082,0.8055,0.1859,-0.0186,-0.0089,0
1447451,0.5926,0.0057,0.0084,0.8055,0.2106,-0.0169,-0.0111,0
1447618,0.5928,0.0059,0.0085,0.8053,0.2106,-0.0178,-0.0038,0
1447784,0.5928,0.0061,0.0087,0.8053,0.2093,-0.0192,-0.0065,0
1447951,0.5929,0.0064,0.0088,0.8052,0.2263,-0.0295,-0.0046,0
1448118,0.5929,0.0066,0.0090,0.8052,0.2367,-0.0257,-0.0100,0
1448284,0.5929,0.0068,0.0091,0.8052,0.2472,-0.0170,-0.0041,0
1448451,0.5928,0.0071,0.0092,0.8052,0.2388,-0.0359,-0.0031,0
1448618,0.5929,0.0073,0.0094,0.8052,0.2372,-0.0177,-0.0182,0
1448784,0.5932,0.0075,0.0095,0.8050,0.2467,-0.0116,-0.0183,0
1448951,0.5931,0.0078,0.0097,0.8050,0.2472,-0.0191,-0.0137,0
1449118,0.5933,0.0080,0.0098,0.8049,0.2560,-0.0313,0.0159,0
1449284,0.5933,0.0082,0.0100,0.8049,0.2596,-0.0277,-0.0219,0
1449451,0.5934,0.0085,0.0101,0.8048,0.2661,-0.0240,-0.0032,0
1449618,0.5935,0.0087,0.0102,0.8047,0.2700,-0.0264,-0.0177,0
1449784,0.5940,0.0089,0.0104,0.8043,0.2826,-0.0267,0.0123,0
1449951,0.5940,0.0092,0.0105,0.8044,0.2780,-0.0307,-0.0229,0
1450118,0.5942,0.0094,0.0107,0.8042,0.2829,-0.0241,0.0157,0
1450284,0.5945,0.0096,0.0108,0.8040,0.2911,-0.0278,-0.0207,0
1450451,0.5945,0.0098,0.0110,0.8040,0.2937,-0.0239,-0.0365,0
1450618,0.5947,0.0101,0.0111,0.8038,0.2910,-0.0278,-0.0277,0
1450784,0.5949,0.0103,0.0112,0.8037,0.2981,-0.0359,-0.0357,0
1450951,0.5951,0.0105,0.0114,0.8035,0.3175,-0.0236,-0.0015,0
1451118,0.5952,0.0108,0.0115,0.8034,0.3076,-0.0290,-0.0402,0
1451284,0.5954,0.0110,0.0116,0.8033,0.3181,-0.0214,-0.0245,0
1451451,0.5955,0.0112,0.0118,0.8032,0.3291,-0.0423,-0.0180,0
1451618,0.5955,0.0114,0.0119,0.8032,0.3298,-0.0388,-0.0009,0
1451784,0.5957,0.0116,0.0120,0.8031,0.3356,-0.0375,-0.0230,0
1451951,0.5959,0.0119,0.0121,0.8029,0.3321,-0.0357,-0.0053,0
1452118,0.5960,0.0121,0.0123,0.8028,0.3450,-0.0293,0.0036,0
1452285,0.5961,0.0123,0.0124,0.8027,0.3565,-0.0421,-0.0361,0
1452451,0.5963,0.0125,0.0125,0.8026,0.3628,-0.0321,-0.0083,0
1452618,0.5964,0.0127,0.0127,0.8025,0.3545,-0.0321,-0.0291,0
1452785,0.5965,0.0130,0.0128,0.8024,0.3692,-0.0351,-0.0257,0
1452951,0.5967,0.0132,0.0129,0.8022,0.3717,-0.0435,0.0122,0
1453118,0.5968,0.0134,0.0131,0.8022,0.3752,-0.0329,-0.0239,0
1453285,0.5969,0.0136,0.0132,0.8021,0.3906,-0.0347,-0.0303,0
1453451,0.5970,0.0138,0.0133,0.8020,0.3806,-0.0351,-0.0062,0
1453618,0.5971,0.0140,0.0134,0.8020,0.3943,-0.0289,-0.0038,0
1453785,0.5969,0.0142,0.0136,0.8020,0.3993,-0.0549,-0.0293,0
1453951,0.5970,0.0144,0.0137,0.8020,0.3981,-0.0312,-0.0130,0
1454118,0.5973,0.0146,0.0138,0.8018,0.4033,-0.0276,-0.0251,0
1454285,0.5973,0.0148,0.0139,0.8017,0.4158,-0.0381,-0.0037,0
1454451,0.5975,0.0150,0.0140,0.8016,0.4123,-0.0360,-0.0014,0
1454618,0.5975,0.0152,0.0141,0.8016,0.4300,-0.0184,-0.0220,0
1454785,0.5979,0.0154,0.0142,0.8013,0.4147,-0.0378,-0.0155,0
1454951,0.5983,0.0156,0.0144,0.8010,0.4299,-0.0308,-0.0265,0
1455118,0.5984,0.0158,0.0145,0.8009,0.4315,-0.0463,-0.0419,0
1455285,0.5984,0.0160,0.0146,0.8009,0.4363,-0.0445,-0.0344,0
1455451,0.5984,0.0162,0.0147,0.8009,0.4460,-0.0552,-0.0163,0
1455618,0.5985,0.0164,0.0148,0.8008,0.4533,-0.0347,-0.0139,0
1455785,0.5986,0.0165,0.0149,0.8008,0.4489,-0.0413,-0.0256,0
1455951,0.5987,0.0167,0.0150,0.8007,0.4558,-0.0549,0.0106,0
1456118,0.5987,0.0169,0.0151,0.8007,0.4585,-0.0438,-0.0118,0
1456285,0.5988,0.0171,0.0152,0.8006,0.4544,-0.0394,-0.0185,0
1456451,0.5989,0.0173,0.0154,0.8005,0.4621,-0.0395,-0.0109,0
1456618,0.5990,0.0174,0.0155,0.8004,0.4800,-0.0444,-0.0258,0
1456785,0.5991,0.0176,0.0156,0.8003,0.4880,-0.0380,-0.0350,0
1456951,0.5992,0.0178,0.0157,0.8002,0.4741,-0.0410,-0.0143,0
1457118,0.5994,0.0179,0.0158,0.8001,0.4692,-0.0466,-0.0461,0
1457285,0.5995,0.0181,0.0159,0.8000,0.4838,-0.0582,-0.0160,0
1457451,0.5998,0.0183,0.0160,0.7998,0.4824,-0.0441,-0.0309,0
1457618,0.5999,0.0184,0.0161,0.7997,0.5024,-0.0396,-0.0093,0
1457785,0.5999,0.0186,0.0162,0.7997,0.4940,-0.0488,-0.0206,0
1457951,0.6000,0.0187,0.0163,0.7996,0.5202,-0.0474,-0.0053,0
1458118,0.6001,0.0189,0.0164,0.7995,0.5205,-0.0543,-0.0196,0
1458285,0.6002,0.0190,0.0164,0.7994,0.4955,-0.0472,-0.0137,0
1458451,0.6003,0.0192,0.0165,0.7994,0.5124,-0.0544,-0.0467,0
1458618,0.6004,0.0193,0.0166,0.7993,0.5178,-0.0522,-0.0033,0
1458785,0.6004,0.0195,0.0167,0.7993,0.5096,-0.0504,-0.0275,0
1458951,0.6005,0.0196,0.0168,0.7992,0.5195,-0.0389,-0.0038,0
1459118,0.6005,0.0197,0.0169,0.7992,0.5230,-0.0352,-0.0227,0
1459285,0.6006,0.0199,0.0170,0.7991,0.5283,-0.0537,-0.0224,0
1459451,0.6007,0.0200,0.0170,0.7990,0.5206,-0.0615,-0.0228,0
1459618,0.6009,0.0201,0.0171,0.7989,0.5258,-0.0635,-0.0076,0
1459785,0.6010,0.0203,0.0172,0.7988,0.5368,-0.0578,-0.0176,0
1459951,0.6011,0.0204,0.0172,0.7987,0.5279,-0.0424,-0.0301,0
1460118,0.6012,0.0205,0.0173,0.7987,0.5352,-0.0568,-0.0175,0
1460285,0.6013,0.0206,0.0174,0.7986,0.5429,-0.0565,-0.0086,0
1460451,0.6014,0.0207,0.0175,0.7985,0.5531,-0.0554,-0.0232,0
1460618,0.6015,0.0209,0.0175,0.7984,0.5406,-0.0674,-0.0397,0
1460785,0.6016,0.0210,0.0176,0.7983,0.5506,-0.0541,-0.0089,0
1460951,0.5998,-0.0033,0.0026,0.8001,-0.0042,-0.0125,-0.0022,0
1461118,0.5999,-0.0033,0.0026,0.8001,0.0022,-0.0126,-0.0128,0
1461285,0.5999,-0.0032,0.0026,0.8001,0.0065,-0.0028,-0.0146,0
1461451,0.5999,-0.0032,0.0026,0.8000,-0.0034,-0.0120,-0.0094,0
1461618,0.6000,-0.0033,0.0026,0.8000,-0.0030,-0.0114,-0.0090,0
1461785,0.6000,-0.0033,0.0026,0.8000,0.0031,-0.0009,-0.0012,0
1461951,0.6000,-0.0033,0.0026,0.8000,0.0056,-0.0082,-0.0217,0
1462118,0.6001,-0.0033,0.0026,0.7999,0.0069,-0.0057,-0.0244,0
1462285,0.6001,-0.0033,0.0026,0.7999,-0.0026,-0.0103,-0.0169,0
1462451,0.6001,-0.0033,0.0026,0.7999,-0.0057,-0.0175,0.0044,0
1462618,0.6001,-0.0033,0.0026,0.7999,0.0048,-0.0044,-0.0326,0
1462785,0.6001,-0.0033,0.0026,0.7999,0.0049,-0.0118,0.0053,0
1462951,0.6002,-0.0033,0.0026,0.7999,0.0035,-0.0066,-0.0079,0
1463118,0.6002,-0.0033,0.0026,0.7999,0.0049,0.0039,-0.0348,0
1463285,0.6002,-0.0033,0.0026,0.7999,0.0054,-0.0019,-0.0167,0
1463451,0.6002,-0.0033,0.0026,0.7998,0.0020,-0.0112,-0.0033,0
1463618,0.6002,-0.0033,0.0026,0.7999,-0.0088,0.0013,-0.0102,0
1463785,0.6002,-0.0033,0.0026,0.7998,0.0022,-0.0103,-0.0096,0
1463951,0.6002,-0.0032,0.0026,0.7999,-0.0070,-0.0131,-0.0138,0
1464118,0.6002,-0.0032,0.0026,0.7998,-0.0062,0.0018,0.0029,0
1464285,0.6002,-0.0033,0.0026,0.7998,-0.0008,0.0049,-0.0074,0
1464451,0.6002,-0.0033,0.0026,0.7998,0.0002,-0.0075,0.0006,0
1464618,0.6002,-0.0033,0.0026,0.7998,0.0152,-0.0129,-0.0256,0
1464785,0.6002,-0.0033,0.0026,0.7998,0.0166,-0.0048,-0.0173,0
1464951,0.6002,-0.0033,0.0026,0.7998,0.0003,-0.0032,-0.0051,0
1465118,0.6002,-0.0033,0.0026,0.7998,0.0058,-0.0005,-0.0218,0
1465285,0.6002,-0.0033,0.0027,0.7998,0.0024,-0.0055,-0.0109,0
1465451,0.6002,-0.0033,0.0027,0.7998,0.0031,-0.0060,0.0052,0
1465618,0.6002,-0.0033,0.0026,0.7998,-0.0070,-0.0032,-0.0128,0
1465785,0.6002,-0.0033,0.0026,0.7998,0.0033,0.0035,-0.0066,0
1465951,0.6002,-0.0033,0.0026,0.7998,0.0017,-0.0064,-0.0084,0
1466118,0.6002,-0.0033,0.0026,0.7998,0.0036,-0.0024,-0.0081,0
1466285,0.6002,-0.0033,0.0026,0.7998,-0.0018,-0.0056,-0.0128,0
1466451,0.6002,-0.0033,0.0026,0.7998,0.0011,0.0035,-0.0080,0
1466618,0.6002,-0.0033,0.0026,0.7998,0.0144,0.0056,-0.0088,0
1466785,0.6002,-0.0033,0.0027,0.7998,0.0130,-0.0113,0.0059,0
1466951,0.6002,-0.0033,0.0027,0.7998,-0.0148,-0.0222,-0.0007,0
1467118,0.5988,-0.0033,0.0027,0.8009,0.0073,0.0011,-0.0305,0
1467285,0.5984,-0.0033,0.0026,0.8012,0.0019,-0.0069,0.0009,0
1467451,0.5982,-0.0033,0.0026,0.8013,0.0062,-0.0160,0.0004,0
1467618,0.5980,-0.0033,0.0026,0.8015,-0.0145,-0.0024,-0.0032,0
1467785,0.5979,-0.0033,0.0026,0.8016,0.0121,-0.0153,-0.0133,0
1467951,0.5978,-0.0033,0.0026,0.8017,0.0046,0.0015,0.0076,0
1468118,0.5977,-0.0033,0.0026,0.8017,0.0065,-0.0051,-0.0155,0
1468285,0.5975,-0.0033,0.0027,0.8018,-0.0076,-0.0085,-0.0199,0
1468451,0.5974,-0.0033,0.0027,0.8019,-0.0057,-0.0067,-0.0038,0
1468618,0.5973,-0.0033,0.0027,0.8020,-0.0070,0.0000,-0.0316,0
1468785,0.5972,-0.0033,0.0027,0.8021,-0.0045,-0.0133,0.0080,0
1468952,0.5971,-0.0033,0.0027,0.8022,-0.0040,-0.0065,-0.0003,0
1469118,0.5969,-0.0033,0.0027,0.8023,0.0064,0.0081,-0.0210,0
1469285,0.5969,-0.0033,0.0027,0.8023,0.0031,0.0012,-0.0167,0
1469452,0.5968,-0.0033,0.0027,0.8024,-0.0036,-0.0126,-0.0072,0
1469618,0.5968,-0.0033,0.0027,0.8024,0.0072,-0.0050,-0.0021,0
1469785,0.5967,-0.0033,0.0027,0.8024,-0.0041,-0.0076,-0.0187,0
1469952,0.5966,-0.0033,0.0027,0.8025,0.0128,0.0095,0.0155,0
1470118,0.5966,-0.0033,0.0027,0.8025,-0.0060,-0.0033,-0.0099,0
1470285,0.5965,-0.0033,0.0027,0.8026,0.0126,0.0042,-0.0034,0
1470452,0.5964,-0.0033,0.0027,0.8026,0.0007,-0.0165,-0.0171,0
1470618,0.5964,-0.0033,0.0027,0.8027,0.0046,-0.0181,-0.0243,0
1470785,0.5963,-0.0033,0.0027,0.8027,0.0029,-0.0046,-0.0311,0
1470952,0.5963,-0.0033,0.0027,0.8028,-0.0091,0.0033,-0.0054,0
1471118,0.5962,-0.0033,0.0027,0.8028,0.0116,-0.0091,-0.0154,0
1471285,0.5961,-0.0033,0.0027,0.8029,0.0154,-0.0088,-0.0038,0
1471452,0.5960,-0.0033,0.0027,0.8029,0.0068,-0.0109,0.0092,0
1471618,0.5960,-0.0033,0.0027,0.8030,0.0003,0.0063,-0.0164,0
1471785,0.5959,-0.0033,0.0027,0.8030,0.0056,0.0031,-0.0003,0
1471952,0.5959,-0.0033,0.0027,0.8031,-0.0030,0.0038,-0.0167,0
1472118,0.5958,-0.0033,0.0027,0.8031,-0.0004,0.0037,-0.0035,0
1472285,0.5957,-0.0033,0.0027,0.8032,-0.0062,-0.0018,-0.0056,0
1472452,0.5957,-0.0033,0.0027,0.8032,0.0047,0.0024,0.0064,0
1472618,0.5957,-0.0033,0.0027,0.8032,0.0076,0.0007,-0.0396,0
1472785,0.5956,-0.0033,0.0027,0.8033,-0.0089,-0.0115,0.0147,0
1472952,0.5955,-0.0033,0.0027,0.8033,0.0116,-0.0070,-0.0126,0
1473118,0.5955,-0.0033,0.0027,0.8034,0.0055,-0.0091,-0.0145,0
1473285,0.5954,-0.0033,0.0027,0.8034,-0.0119,-0.0014,-0.0115,0
1473452,0.5953,-0.0033,0.0027,0.8035,0.0063,-0.0108,-0.0114,0
1473618,0.5953,-0.0033,0.0027,0.8035,0.0072,-0.0115,-0.0138,0
1473785,0.5952,-0.0033,0.0027,0.8035,-0.0057,0.0014,0.0006,0
1473952,0.5952,-0.0033,0.0027,0.8036,-0.0050,0.0107,-0.0084,0
1474118,0.5952,-0.0033,0.0027,0.8036,-0.0057,-0.0062,-0.0097,0
1474285,0.5951,-0.0033,0.0027,0.8036,0.0018,-0.0127,-0.0118,0
1474452,0.5951,-0.0033,0.0027,0.8037,0.0034,-0.0172,0.0030,0
1474618,0.5950,-0.0033,0.0027,0.8037,-0.0000,0.0062,0.0113,0
1474785,0.5950,-0.0033,0.0027,0.8037,0.0046,0.0068,0.0134,0
1474952,0.5949,-0.0033,0.0027,0.8038,0.0119,0.0076,-0.0187,0
1475118,0.5949,-0.0033,0.0027,0.8038,-0.0085,-0.0130,-0.0064,0
1475285,0.5949,-0.0033,0.0027,0.8038,-0.0076,-0.0105,-0.0157,0
1475452,0.5948,-0.0033,0.0027,0.8038,0.0044,-0.0034,-0.0014,0
